ligand,cases,samples_total,samples_used,pearson_r,rmsd_mean,rmsd_std,edelta_mean,edelta_std
3nq9,441,441000,406059,-0.1062093244178521,4.81533874461567,1.4415171059899845,67.62941102155106,80.11844872946648
4jsz,441,441000,402526,-0.09384736080142121,3.833748517128082,0.9597887741021853,53.97737554841179,78.04461542030695
