ligand,case,run_tag,top_frac,top_n,top_success_any,top_success_rate,top_valid_n,top_success_any_valid,top_success_rate_valid
3nq9,3nq9_Kdist1.0_Kmono16.0,penalty_qpu_20260116_174810,0.1,2,0,0.0,2,0,0.0
3nq9,3nq9_Kdist1.0_Kmono17.0,penalty_qpu_20260116_174810,0.1,23,0,0.0,23,0,0.0
3nq9,3nq9_Kdist1.0_Kmono18.0,penalty_qpu_20260116_174810,0.1,12,0,0.0,12,0,0.0
3nq9,3nq9_Kdist1.0_Kmono19.0,penalty_qpu_20260116_174810,0.1,5,0,0.0,5,0,0.0
3nq9,3nq9_Kdist1.0_Kmono2.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist1.0_Kmono20.0,penalty_qpu_20260116_174810,0.1,5,0,0.0,5,0,0.0
3nq9,3nq9_Kdist1.0_Kmono3.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist1.0_Kmono4.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist1.0_Kmono5.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist1.0_Kmono6.0,penalty_qpu_20260116_174810,0.1,100,1,0.02,100,1,0.02
3nq9,3nq9_Kdist1.0_Kmono7.0,penalty_qpu_20260116_174810,0.1,46,1,0.043478260869565216,46,1,0.043478260869565216
3nq9,3nq9_Kdist1.0_Kmono8.0,penalty_qpu_20260116_174810,0.1,45,1,0.044444444444444446,45,1,0.044444444444444446
3nq9,3nq9_Kdist1.0_Kmono9.0,penalty_qpu_20260116_174810,0.1,90,0,0.0,90,0,0.0
3nq9,3nq9_Kdist1.5_Kmono0.1,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist1.5_Kmono1.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist1.5_Kmono10.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist1.5_Kmono11.0,penalty_qpu_20260116_174810,0.1,100,1,0.13,100,1,0.13
3nq9,3nq9_Kdist1.5_Kmono12.0,penalty_qpu_20260116_174810,0.1,84,0,0.0,84,0,0.0
3nq9,3nq9_Kdist1.5_Kmono13.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist1.5_Kmono14.0,penalty_qpu_20260116_174810,0.1,31,0,0.0,31,0,0.0
3nq9,3nq9_Kdist1.5_Kmono15.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist1.5_Kmono16.0,penalty_qpu_20260116_174810,0.1,93,0,0.0,93,0,0.0
3nq9,3nq9_Kdist1.5_Kmono17.0,penalty_qpu_20260116_174810,0.1,74,1,0.04054054054054054,74,1,0.04054054054054054
3nq9,3nq9_Kdist1.5_Kmono18.0,penalty_qpu_20260116_174810,0.1,30,1,0.6333333333333333,30,1,0.6333333333333333
3nq9,3nq9_Kdist1.5_Kmono19.0,penalty_qpu_20260116_174810,0.1,70,0,0.0,70,0,0.0
3nq9,3nq9_Kdist1.5_Kmono2.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist1.5_Kmono20.0,penalty_qpu_20260116_174810,0.1,36,0,0.0,36,0,0.0
3nq9,3nq9_Kdist1.5_Kmono3.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist1.5_Kmono4.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist1.5_Kmono5.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist1.5_Kmono6.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist1.5_Kmono7.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist1.5_Kmono8.0,penalty_qpu_20260116_174810,0.1,49,0,0.0,49,0,0.0
3nq9,3nq9_Kdist1.5_Kmono9.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist10.0_Kmono0.1,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist10.0_Kmono1.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist10.0_Kmono10.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist10.0_Kmono11.0,penalty_qpu_20260116_174810,0.1,100,1,0.04,100,1,0.04
3nq9,3nq9_Kdist10.0_Kmono12.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist10.0_Kmono13.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist10.0_Kmono14.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist10.0_Kmono15.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
