ligand,case_name,run_tag,mode,variant,setting,quality,tts_0p99_sec,validity_rate,success_rate,embedding_cached,n_reads,n_report_rows,n_valid,n_success_valid
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r4_20260409_180305,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,0.896,0.0020196648364287,1.0,0.896,True,1000,1000,1000,896
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_fourier_3nq9_at800_cs1p0_r4_20260409_180305,anneal_schedule,fourier,anneal_schedule|fourier,0.946,0.001560957288853,0.958,0.9874739039665972,True,1000,958,958,946
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_fourier_4jsz_at800_cs0p75_r4_20260409_180305,anneal_schedule,fourier,anneal_schedule|fourier,0.893,0.0020453637126169,1.0,0.893,True,1000,1000,1000,893
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_lowpass_linear_3nq9_at800_cs1p0_r4_20260409_180305,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,0.945,0.0015708324797123,0.963,0.9813084112149532,True,1000,963,963,945
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_lowpass_linear_4jsz_at800_cs0p75_r4_20260409_180305,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,0.894,0.0020368063469872,1.0,0.894,True,1000,1000,1000,894
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_bangbang_monotone_3nq9_at800_cs1p0_r4_20260409_180305,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,0.887,0.0020895069780422,0.973,0.9116135662898252,True,1000,973,973,887
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_bangbang_monotone_4jsz_at800_cs0p75_r4_20260409_180305,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,0.83,0.0025796639822212,1.0,0.83,True,1000,1000,1000,830
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_pause_quench_3nq9_at800_cs1p0_r4_20260409_180305,anneal_schedule,pause_quench,anneal_schedule|pause_quench,0.955,0.0014690953251625,0.96,0.9947916666666666,True,1000,960,960,955
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_pause_quench_4jsz_at800_cs0p75_r4_20260409_180305,anneal_schedule,pause_quench,anneal_schedule|pause_quench,0.89,0.0020708200002914,1.0,0.89,True,1000,1000,1000,890
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_linear_3nq9_at800_cs1p0_r5_20260409_180305,anneal_schedule,linear,anneal_schedule|linear,0.935,0.0016667015934107,0.951,0.9831756046267088,True,1000,951,951,935
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_linear_4jsz_at800_cs0p75_r5_20260409_180305,anneal_schedule,linear,anneal_schedule|linear,0.89,0.0020708617274923,1.0,0.89,True,1000,1000,1000,890
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_cubic_smoothstep_3nq9_at800_cs1p0_r5_20260409_180305,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,0.944,0.0015806520808934,0.959,0.9843587069864442,True,1000,959,959,944
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r5_20260409_180305,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,0.901,0.0019766355703837,1.0,0.901,True,1000,1000,1000,901
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_fourier_3nq9_at800_cs1p0_r5_20260409_180305,anneal_schedule,fourier,anneal_schedule|fourier,0.948,0.0015410314272946,0.96,0.9875,True,1000,960,960,948
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_fourier_4jsz_at800_cs0p75_r5_20260409_180305,anneal_schedule,fourier,anneal_schedule|fourier,0.891,0.0020624536160123,1.0,0.891,True,1000,1000,1000,891
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_lowpass_linear_3nq9_at800_cs1p0_r5_20260409_180305,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,0.938,0.0016385107512036,0.959,0.978102189781022,True,1000,959,959,938
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_lowpass_linear_4jsz_at800_cs0p75_r5_20260409_180305,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,0.884,0.0021220460194614,1.0,0.884,True,1000,1000,1000,884
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_bangbang_monotone_3nq9_at800_cs1p0_r5_20260409_180305,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,0.877,0.0021740581392884,0.968,0.90599173553719,True,1000,968,968,877
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_bangbang_monotone_4jsz_at800_cs0p75_r5_20260409_180305,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,0.83,0.0025796639822212,1.0,0.83,True,1000,1000,1000,830
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_pause_quench_3nq9_at800_cs1p0_r5_20260409_180305,anneal_schedule,pause_quench,anneal_schedule|pause_quench,0.944,0.0015805562198515,0.955,0.9884816753926702,True,1000,955,955,944
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_pause_quench_4jsz_at800_cs0p75_r5_20260409_180305,anneal_schedule,pause_quench,anneal_schedule|pause_quench,0.879,0.0021642733726182,1.0,0.879,True,1000,1000,1000,879
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_linear_3nq9_at800_cs1p0_r6_20260409_180305,anneal_schedule,linear,anneal_schedule|linear,0.957,0.0014478401234705,0.97,0.98659793814433,True,1000,970,970,957
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_linear_4jsz_at800_cs0p75_r6_20260409_180305,anneal_schedule,linear,anneal_schedule|linear,0.903,0.0019592260373455,1.0,0.903,True,1000,1000,1000,903
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_cubic_smoothstep_3nq9_at800_cs1p0_r6_20260409_180305,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,0.958,0.0014372095007467,0.971,0.9866117404737385,True,1000,971,971,958
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r6_20260409_180305,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,0.899,0.0019938794985909,1.0,0.899,True,1000,1000,1000,899
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_fourier_3nq9_at800_cs1p0_r6_20260409_180305,anneal_schedule,fourier,anneal_schedule|fourier,0.962,0.0013932237335707,0.976,0.985655737704918,True,1000,976,976,962
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_fourier_4jsz_at800_cs0p75_r6_20260409_180305,anneal_schedule,fourier,anneal_schedule|fourier,0.898,0.0020024849142128,1.0,0.898,True,1000,1000,1000,898
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_lowpass_linear_3nq9_at800_cs1p0_r6_20260409_180305,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,0.944,0.0015806520808934,0.959,0.9843587069864442,True,1000,959,959,944
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_lowpass_linear_4jsz_at800_cs0p75_r6_20260409_180305,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,0.886,0.0021050508030004,1.0,0.886,True,1000,1000,1000,886
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_bangbang_monotone_3nq9_at800_cs1p0_r6_20260409_180305,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,0.858,0.0023340474168189,0.969,0.8854489164086687,True,1000,969,969,858
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_bangbang_monotone_4jsz_at800_cs0p75_r6_20260409_180305,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,0.835,0.0025369232814088,1.0,0.835,True,1000,1000,1000,835
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_pause_quench_3nq9_at800_cs1p0_r6_20260409_180305,anneal_schedule,pause_quench,anneal_schedule|pause_quench,0.939,0.0016288859782915,0.951,0.9873817034700316,True,1000,951,951,939
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_pause_quench_4jsz_at800_cs0p75_r6_20260409_180305,anneal_schedule,pause_quench,anneal_schedule|pause_quench,0.897,0.0020109178037098,1.0,0.897,True,1000,1000,1000,897
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_linear_3nq9_at800_cs1p0_r7_20260409_180305,anneal_schedule,linear,anneal_schedule|linear,0.955,0.0014690656248568,0.97,0.9845360824742267,True,1000,970,970,955
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_linear_4jsz_at800_cs0p75_r7_20260409_180305,anneal_schedule,linear,anneal_schedule|linear,0.909,0.001907033752693,1.0,0.909,True,1000,1000,1000,909
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_cubic_smoothstep_3nq9_at800_cs1p0_r7_20260409_180305,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,0.954,0.0014796715560414,0.975,0.9784615384615384,True,1000,975,975,954
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r7_20260409_180305,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,0.888,0.0020880320066388,1.0,0.888,True,1000,1000,1000,888
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_fourier_3nq9_at800_cs1p0_r7_20260409_180305,anneal_schedule,fourier,anneal_schedule|fourier,0.946,0.001560957288853,0.955,0.9905759162303664,True,1000,955,955,946
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_fourier_4jsz_at800_cs0p75_r7_20260409_180305,anneal_schedule,fourier,anneal_schedule|fourier,0.883,0.0021305356062961,1.0,0.883,True,1000,1000,1000,883
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_lowpass_linear_3nq9_at800_cs1p0_r7_20260409_180305,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,0.939,0.0016289847705426,0.95,0.988421052631579,True,1000,950,950,939
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_lowpass_linear_4jsz_at800_cs0p75_r7_20260409_180305,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,0.886,0.0021050508030004,1.0,0.886,True,1000,1000,1000,886
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_bangbang_monotone_3nq9_at800_cs1p0_r7_20260409_180305,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,0.847,0.0024268102590705,0.955,0.8869109947643979,True,1000,955,955,847
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_bangbang_monotone_4jsz_at800_cs0p75_r7_20260409_180305,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,0.777,0.0030461838479956,1.0,0.777,True,1000,1000,1000,777
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_pause_quench_3nq9_at800_cs1p0_r7_20260409_180305,anneal_schedule,pause_quench,anneal_schedule|pause_quench,0.932,0.0016947103250152,0.942,0.989384288747346,True,1000,942,942,932
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_pause_quench_4jsz_at800_cs0p75_r7_20260409_180305,anneal_schedule,pause_quench,anneal_schedule|pause_quench,0.881,0.0021473272487591,1.0,0.881,True,1000,1000,1000,881
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_linear_3nq9_at800_cs1p0_r8_20260409_180305,anneal_schedule,linear,anneal_schedule|linear,0.94,0.0016192832383068,0.953,0.9863588667366212,True,1000,953,953,940
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_linear_4jsz_at800_cs0p75_r8_20260409_180305,anneal_schedule,linear,anneal_schedule|linear,0.888,0.0020879057947386,1.0,0.888,True,1000,1000,1000,888
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_cubic_smoothstep_3nq9_at800_cs1p0_r8_20260409_180305,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,0.925,0.0017589217400102,0.943,0.980911983032874,True,1000,943,943,925
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r8_20260409_180305,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,0.887,0.0020965445198049,1.0,0.887,True,1000,1000,1000,887
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_fourier_3nq9_at800_cs1p0_r8_20260409_180305,anneal_schedule,fourier,anneal_schedule|fourier,0.941,0.0016097973708141,0.954,0.9863731656184488,True,1000,954,954,941
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_fourier_4jsz_at800_cs0p75_r8_20260409_180305,anneal_schedule,fourier,anneal_schedule|fourier,0.872,0.0022236619277849,1.0,0.872,True,1000,1000,1000,872
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_lowpass_linear_3nq9_at800_cs1p0_r8_20260409_180305,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,0.939,0.0016289847705426,0.945,0.9936507936507936,True,1000,945,945,939
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_lowpass_linear_4jsz_at800_cs0p75_r8_20260409_180305,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,0.87,0.0022405601325475,1.0,0.87,True,1000,1000,1000,870
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_bangbang_monotone_3nq9_at800_cs1p0_r8_20260409_180305,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,0.867,0.0022582924222833,0.967,0.8965873836608066,True,1000,967,967,867
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_bangbang_monotone_4jsz_at800_cs0p75_r8_20260409_180305,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,0.833,0.0025540013731294,1.0,0.833,True,1000,1000,1000,833
