ligand,case_name,run_tag,mode,variant,setting,quality,tts_0p99_sec,validity_rate,success_rate,embedding_cached,n_reads,n_report_rows,n_valid,n_success_valid
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_linear_4jsz_at800_cs0p75_r10_20260409_180305,anneal_schedule,linear,anneal_schedule|linear,0.884,0.0021219177515711,1.0,0.884,True,1000,1000,1000,884
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_cubic_smoothstep_3nq9_at800_cs1p0_r10_20260409_180305,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,0.915,0.0018482291977001,0.931,0.9828141783029,True,1000,931,931,915
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r10_20260409_180305,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,0.849,0.0024180358803017,1.0,0.849,True,1000,1000,1000,849
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_fourier_3nq9_at800_cs1p0_r10_20260409_180305,anneal_schedule,fourier,anneal_schedule|fourier,0.946,0.001560957288853,0.957,0.9885057471264368,True,1000,957,957,946
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_fourier_4jsz_at800_cs0p75_r10_20260409_180305,anneal_schedule,fourier,anneal_schedule|fourier,0.857,0.0023503585899912,1.0,0.857,True,1000,1000,1000,857
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_lowpass_linear_3nq9_at800_cs1p0_r10_20260409_180305,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,0.947,0.0015510243577354,0.96,0.9864583333333332,True,1000,960,960,947
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_lowpass_linear_4jsz_at800_cs0p75_r10_20260409_180305,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,0.872,0.0022236619277849,1.0,0.872,True,1000,1000,1000,872
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_bangbang_monotone_3nq9_at800_cs1p0_r10_20260409_180305,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,0.889,0.0020725325487412,0.964,0.9221991701244814,True,1000,964,964,889
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_bangbang_monotone_4jsz_at800_cs0p75_r10_20260409_180305,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,0.798,0.0028578235278727,1.0,0.798,True,1000,1000,1000,798
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_pause_quench_3nq9_at800_cs1p0_r10_20260409_180305,anneal_schedule,pause_quench,anneal_schedule|pause_quench,0.947,0.0015509302935116,0.954,0.9926624737945492,True,1000,954,954,947
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_pause_quench_4jsz_at800_cs0p75_r10_20260409_180305,anneal_schedule,pause_quench,anneal_schedule|pause_quench,0.864,0.002291047133191,1.0,0.864,True,1000,1000,1000,864
