mode,query_tag,ligand,kdist,kmono,n_reads,n_valid,n_success_valid,validity_rate,success_rate,quality,qpu_access_time,qpu_sampling_time,sample_elapsed_sec,mRMSD,avg_RMSD,physical_qubits,max_chain_length,raw_case_id,step,candidate_idx,objective,objective_value,best_so_far
qpu,online_bo_v113_b100_q3_n20_x0p1_r5_20260401_120636_s001,3nq9,1.5,0.1,1000,1000,12,1.0,0.012,0.012,211524.4,176920.0,31.732,1.7694916026083045,3.4741948000000002,2404.0,30.0,3nq9_Kdist1.500_Kmono0.100,1,63,quality_3nq9,0.012,0.012
qpu,online_bo_v113_b100_q3_n20_x0p1_r5_20260401_120636_s001,4jsz,1.5,0.1,1000,1000,0,1.0,0.0,0.0,211666.8,177060.0,103.387,2.106696504522091,2.3765151999999996,2515.0,26.0,4jsz_Kdist1.500_Kmono0.100,1,63,quality_3nq9,0.012,0.012
qpu,online_bo_v113_b100_q3_n20_x0p1_r5_20260401_120636_s002,3nq9,1.5,19.0,1000,761,297,0.761,0.3902759526938239,0.297,211569.2,176980.0,95.738,0.9645340844158907,3.6442118265440215,2031.0,24.0,3nq9_Kdist1.500_Kmono19.000,2,82,quality_3nq9,0.297,0.297
qpu,online_bo_v113_b100_q3_n20_x0p1_r5_20260401_120636_s002,4jsz,1.5,19.0,1000,14,0,0.014,0.0,0.0,217834.8,183240.0,48.2,3.018294054594414,3.0700071428571434,2805.0,31.0,4jsz_Kdist1.500_Kmono19.000,2,82,quality_3nq9,0.297,0.297
qpu,online_bo_v113_b100_q3_n20_x0p1_r5_20260401_120636_s003,3nq9,1.5,18.0,1000,148,14,0.148,0.0945945945945946,0.014,212473.2,177880.0,96.419,1.125979129469104,4.826466216216216,2039.0,23.0,3nq9_Kdist1.500_Kmono18.000,3,81,quality_3nq9,0.014,0.297
qpu,online_bo_v113_b100_q3_n20_x0p1_r5_20260401_120636_s003,4jsz,1.5,18.0,1000,684,2,0.684,0.0029239766081871343,0.002,210657.6,176060.0,64.814,1.3260821995638148,2.9971166666666673,2531.0,26.0,4jsz_Kdist1.500_Kmono18.000,3,81,quality_3nq9,0.014,0.297
qpu,online_bo_v113_b100_q3_n20_x0p1_r5_20260401_120636_s004,3nq9,6.5,17.0,1000,1000,8,1.0,0.008,0.008,208015.6,173420.0,95.795,0.95650875584074,5.5037524,2058.0,24.0,3nq9_Kdist6.500_Kmono17.000,4,290,quality_3nq9,0.008,0.297
qpu,online_bo_v113_b100_q3_n20_x0p1_r5_20260401_120636_s004,4jsz,6.5,17.0,1000,972,2,0.972,0.00205761316872428,0.002,215076.8,180480.0,77.071,1.7189990030377122,3.5281187242798353,2652.0,30.0,4jsz_Kdist6.500_Kmono17.000,4,290,quality_3nq9,0.008,0.297
qpu,online_bo_v113_b100_q3_n20_x0p1_r5_20260401_120636_s005,3nq9,3.0,11.0,1000,968,51,0.968,0.05268595041322314,0.051,212799.2,178200.0,49.391,0.9794294257372501,3.895308987603306,2259.0,27.0,3nq9_Kdist3.000_Kmono11.000,5,137,quality_3nq9,0.051,0.297
qpu,online_bo_v113_b100_q3_n20_x0p1_r5_20260401_120636_s005,4jsz,3.0,11.0,1000,1000,1,1.0,0.001,0.001,210761.6,176160.0,142.334,1.9340032686272834,3.5358976999999996,2424.0,26.0,4jsz_Kdist3.000_Kmono11.000,5,137,quality_3nq9,0.051,0.297
qpu,online_bo_v113_b100_q3_n20_x0p1_r5_20260401_120636_s006,3nq9,5.5,3.0,1000,1000,449,1.0,0.449,0.449,212878.8,178280.0,45.46,0.830476984719869,2.793344099999999,2390.0,28.0,3nq9_Kdist5.500_Kmono3.000,6,234,quality_3nq9,0.449,0.449
qpu,online_bo_v113_b100_q3_n20_x0p1_r5_20260401_120636_s006,4jsz,5.5,3.0,1000,1000,0,1.0,0.0,0.0,217972.4,183380.0,118.653,2.5800347543906135,3.6798747999999994,2534.0,27.0,4jsz_Kdist5.500_Kmono3.000,6,234,quality_3nq9,0.449,0.449
qpu,online_bo_v113_b100_q3_n20_x0p1_r5_20260401_120636_s007,3nq9,5.5,1.0,1000,1000,0,1.0,0.0,0.0,210433.6,175840.0,130.272,2.5104946276391438,4.4546730000000005,1987.0,25.0,3nq9_Kdist5.500_Kmono1.000,7,232,quality_3nq9,0.0,0.449
qpu,online_bo_v113_b100_q3_n20_x0p1_r5_20260401_120636_s007,4jsz,5.5,1.0,1000,1000,0,1.0,0.0,0.0,211394.0,176800.0,122.917,2.590522950936943,3.7197841,2524.0,27.0,4jsz_Kdist5.500_Kmono1.000,7,232,quality_3nq9,0.0,0.449
qpu,online_bo_v113_b100_q3_n20_x0p1_r5_20260401_120636_s008,3nq9,2.0,9.0,1000,1000,0,1.0,0.0,0.0,210012.8,175420.0,37.757,2.2815704691267737,4.5147271,2317.0,27.0,3nq9_Kdist2.000_Kmono9.000,8,93,quality_3nq9,0.0,0.449
qpu,online_bo_v113_b100_q3_n20_x0p1_r5_20260401_120636_s008,4jsz,2.0,9.0,1000,1000,0,1.0,0.0,0.0,212373.6,177780.0,123.152,3.2204631490156763,4.1661061,2411.0,25.0,4jsz_Kdist2.000_Kmono9.000,8,93,quality_3nq9,0.0,0.449
qpu,online_bo_v113_b100_q3_n20_x0p1_r5_20260401_120636_s009,3nq9,6.5,7.0,1000,1000,0,1.0,0.0,0.0,205335.6,170740.0,79.209,3.4556015038086825,5.0091445000000006,2055.0,24.0,3nq9_Kdist6.500_Kmono7.000,9,280,quality_3nq9,0.0,0.449
