mode,query_tag,ligand,kdist,kmono,n_reads,n_valid,n_success_valid,validity_rate,success_rate,quality,qpu_access_time,qpu_sampling_time,sample_elapsed_sec,mRMSD,avg_RMSD,physical_qubits,max_chain_length,raw_case_id,step,candidate_idx,objective,objective_value,best_so_far
qpu,prereg_3nq9_random_s20260804104_s001,3nq9,2.5,16.0,1000,668,0,0.668,0.0,0.0,213153.2,178560.0,2.476,2.3227976666080927,5.1509727544910175,2044.0,24.0,3nq9_Kdist2.500_Kmono16.000,1,121,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_random_s20260804104_s001,4jsz,2.5,16.0,1000,992,11,0.992,0.011088709677419355,0.011,208111.2,173520.0,132.666,1.2274827901033887,4.179650100806452,2340.0,25.0,4jsz_Kdist2.500_Kmono16.000,1,121,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_random_s20260804104_s002,3nq9,4.5,11.0,1000,1000,0,1.0,0.0,0.0,208437.6,173840.0,114.912,2.413928854453057,4.5250775,2073.0,25.0,3nq9_Kdist4.500_Kmono11.000,2,200,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_random_s20260804104_s002,4jsz,4.5,11.0,1000,1000,3,1.0,0.003,0.003,210971.6,176380.0,124.044,1.947780498424328,3.8893774000000003,2340.0,25.0,4jsz_Kdist4.500_Kmono11.000,2,200,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_random_s20260804104_s003,3nq9,8.0,0.1,1000,1000,0,1.0,0.0,0.0,206512.8,171920.0,115.303,2.5109187147717535,4.7409226,1972.0,23.0,3nq9_Kdist8.000_Kmono0.100,3,336,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_random_s20260804104_s003,4jsz,8.0,0.1,1000,1000,0,1.0,0.0,0.0,211750.8,177160.0,149.886,3.515906577173948,3.9931216000000003,2387.0,26.0,4jsz_Kdist8.000_Kmono0.100,3,336,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_random_s20260804104_s004,3nq9,1.5,16.0,1000,459,23,0.459,0.05010893246187364,0.023,213295.6,178700.0,79.279,1.277989534385943,4.092117647058824,2322.0,29.0,3nq9_Kdist1.500_Kmono16.000,4,79,quality_3nq9,0.023,0.023
qpu,prereg_3nq9_random_s20260804104_s004,4jsz,1.5,16.0,1000,244,242,0.244,0.9918032786885246,0.242,212294.8,177700.0,132.232,1.8039636914306223,1.8204684426229503,2498.0,27.0,4jsz_Kdist1.500_Kmono16.000,4,79,quality_3nq9,0.023,0.023
qpu,prereg_3nq9_random_s20260804104_s005,3nq9,8.5,17.0,1000,1000,0,1.0,0.0,0.0,213512.8,178920.0,66.827,3.3834872710318837,7.813587600000001,2282.0,26.0,3nq9_Kdist8.500_Kmono17.000,5,374,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s005,4jsz,8.5,17.0,1000,1000,0,1.0,0.0,0.0,211516.8,176920.0,72.608,2.9150794157278126,4.468257500000001,2632.0,28.0,4jsz_Kdist8.500_Kmono17.000,5,374,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s006,3nq9,3.0,5.0,1000,1000,6,1.0,0.006,0.006,205330.0,170740.0,71.158,1.9813761695070082,3.9353268,2207.0,27.0,3nq9_Kdist3.000_Kmono5.000,6,131,quality_3nq9,0.006,0.023
qpu,prereg_3nq9_random_s20260804104_s006,4jsz,3.0,5.0,1000,999,0,0.999,0.0,0.0,211614.8,177020.0,54.877,2.7298587421651876,3.8564933933933934,2987.0,32.0,4jsz_Kdist3.000_Kmono5.000,6,131,quality_3nq9,0.006,0.023
qpu,prereg_3nq9_random_s20260804104_s007,3nq9,5.0,0.1,1000,1000,0,1.0,0.0,0.0,206014.4,171420.0,126.31,2.9807188526457087,4.2992889,1945.0,22.0,3nq9_Kdist5.000_Kmono0.100,7,210,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s007,4jsz,5.0,0.1,1000,1000,0,1.0,0.0,0.0,210931.6,176340.0,97.694,3.876636650185481,4.1426606,2463.0,26.0,4jsz_Kdist5.000_Kmono0.100,7,210,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s008,3nq9,0.1,7.0,1000,1000,0,1.0,0.0,0.0,199433.6,164840.0,134.985,2.75823766116105,6.360685600000001,2083.0,23.0,3nq9_Kdist0.100_Kmono7.000,8,7,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s008,4jsz,0.1,7.0,1000,752,12,0.752,0.015957446808510637,0.012,218515.6,183920.0,48.601,0.9672874443514717,3.2253248670212766,2968.0,33.0,4jsz_Kdist0.100_Kmono7.000,8,7,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s009,3nq9,0.5,1.0,1000,1000,0,1.0,0.0,0.0,207207.6,172600.0,42.201,3.206509832065628,4.995457699999999,2420.0,28.0,3nq9_Kdist0.500_Kmono1.000,9,22,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s009,4jsz,0.5,1.0,1000,1000,7,1.0,0.007,0.007,214302.4,179700.0,129.138,1.8422094417285715,3.3156022000000003,2373.0,25.0,4jsz_Kdist0.500_Kmono1.000,9,22,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s010,3nq9,9.5,18.0,1000,994,0,0.994,0.0,0.0,212145.6,177560.0,91.807,2.1961083761964026,4.708678672032193,2050.0,23.0,3nq9_Kdist9.500_Kmono18.000,10,417,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s010,4jsz,9.5,18.0,1000,842,2,0.842,0.0023752969121140144,0.002,214687.6,180100.0,97.138,1.91824112144433,3.882919121140143,2621.0,26.0,4jsz_Kdist9.500_Kmono18.000,10,417,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s011,3nq9,1.0,8.0,1000,1000,0,1.0,0.0,0.0,217474.4,182880.0,75.105,4.234711760394189,6.035626699999999,2052.0,24.0,3nq9_Kdist1.000_Kmono8.000,11,50,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s011,4jsz,1.0,8.0,1000,996,3,0.996,0.0030120481927710845,0.003,217212.8,182620.0,75.665,1.006811799692475,3.8833879518072285,2655.0,30.0,4jsz_Kdist1.000_Kmono8.000,11,50,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s012,3nq9,6.0,16.0,1000,1000,0,1.0,0.0,0.0,216111.2,181520.0,88.073,4.812664660166212,6.118048900000001,2017.0,24.0,3nq9_Kdist6.000_Kmono16.000,12,268,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s012,4jsz,6.0,16.0,1000,997,0,0.997,0.0,0.0,238896.8,180240.0,96.537,2.864664892478216,4.508751654964894,2661.0,28.0,4jsz_Kdist6.000_Kmono16.000,12,268,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s013,3nq9,2.0,9.0,1000,1000,0,1.0,0.0,0.0,208979.6,174380.0,53.892,4.426842164780189,6.2234798,2249.0,27.0,3nq9_Kdist2.000_Kmono9.000,13,93,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s013,4jsz,2.0,9.0,1000,996,0,0.996,0.0,0.0,211718.4,177120.0,47.712,3.1442465075459167,4.117815662650602,3016.0,37.0,4jsz_Kdist2.000_Kmono9.000,13,93,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s014,3nq9,2.5,19.0,1000,793,0,0.793,0.0,0.0,206649.6,172060.0,67.509,2.1019186473315288,7.153510970996217,2192.0,25.0,3nq9_Kdist2.500_Kmono19.000,14,124,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s014,4jsz,2.5,19.0,1000,646,0,0.646,0.0,0.0,217573.6,182980.0,84.171,2.7012677116494763,4.163500464396285,2590.0,28.0,4jsz_Kdist2.500_Kmono19.000,14,124,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s015,3nq9,2.5,12.0,1000,1000,4,1.0,0.004,0.004,219608.4,185020.0,100.161,1.406818116759365,3.8364635000000002,1964.0,23.0,3nq9_Kdist2.500_Kmono12.000,15,117,quality_3nq9,0.004,0.023
qpu,prereg_3nq9_random_s20260804104_s015,4jsz,2.5,12.0,1000,999,0,0.999,0.0,0.0,207423.2,172840.0,120.914,2.716724260708362,3.8826116116116114,2379.0,25.0,4jsz_Kdist2.500_Kmono12.000,15,117,quality_3nq9,0.004,0.023
qpu,prereg_3nq9_random_s20260804104_s016,3nq9,8.0,4.0,1000,1000,0,1.0,0.0,0.0,214293.6,179700.0,62.72,3.3415094491958897,5.1393603,2040.0,24.0,3nq9_Kdist8.000_Kmono4.000,16,340,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s016,4jsz,8.0,4.0,1000,1000,0,1.0,0.0,0.0,214571.6,179980.0,46.271,3.1643048979157933,4.14823,2711.0,31.0,4jsz_Kdist8.000_Kmono4.000,16,340,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s017,3nq9,5.0,2.0,1000,1000,0,1.0,0.0,0.0,204788.0,170200.0,58.781,2.3129997797275412,4.2031758,2176.0,25.0,3nq9_Kdist5.000_Kmono2.000,17,212,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s017,4jsz,5.0,2.0,1000,1000,0,1.0,0.0,0.0,212152.8,177560.0,158.954,2.737880671076964,3.3070661,2498.0,26.0,4jsz_Kdist5.000_Kmono2.000,17,212,quality_3nq9,0.0,0.023
qpu,prereg_3nq9_random_s20260804104_s018,3nq9,9.0,13.0,1000,1000,0,1.0,0.0,0.0,209572.0,174980.0,68.785,3.1678092571153296,4.8661623,2194.0,26.0,3nq9_Kdist9.000_Kmono13.000,18,391,quality_3nq9,0.0,0.023
