step,candidate_idx,kdist,kmono,objective_value,best_so_far,q_3nq9,q_4jsz,v_3nq9,v_4jsz,success_3nq9,success_4jsz,n_valid_3nq9,n_valid_4jsz,n_success_valid_3nq9,n_success_valid_4jsz,qpu_access_time_3nq9,qpu_access_time_4jsz,qpu_sampling_time_3nq9,qpu_sampling_time_4jsz,sample_elapsed_sec_3nq9,sample_elapsed_sec_4jsz
36,162,3.5,15.0,0.0,0.221,0.0,0.0,0.997,0.992,0.0,0.0,997,992,0,0,209155.6,212038.4,174560.0,177440.0,134.576,42.024
37,100,2.0,16.0,0.0,0.221,0.0,0.0,0.993,0.273,0.0,0.0,993,273,0,0,207199.6,216327.6,172600.0,181740.0,62.685,111.979
38,409,9.5,10.0,0.0,0.221,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,210429.2,214792.4,175840.0,180200.0,54.67,74.645
39,280,6.5,7.0,0.0,0.221,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,210880.8,204930.0,176280.0,170340.0,39.444,104.293
40,438,10.0,18.0,0.025,0.221,0.0,0.025,1.0,0.964,0.0,0.025933609958506226,1000,964,0,25,205218.0,216693.2,170620.0,182100.0,129.37,106.397
41,404,9.5,5.0,0.0,0.221,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211290.4,219113.6,176700.0,184520.0,3.343,86.974
42,111,2.5,6.0,0.169,0.221,0.0,0.169,1.0,1.0,0.0,0.169,1000,1000,0,169,207191.6,217974.8,172600.0,183380.0,89.816,120.501
43,109,2.5,4.0,0.0,0.221,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208193.2,212329.6,173600.0,177740.0,95.339,95.201
44,367,8.5,10.0,0.0,0.221,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,215190.8,219116.4,180600.0,184520.0,103.794,56.169
45,287,6.5,14.0,0.014,0.221,0.0,0.014,0.943,0.955,0.0,0.014659685863874346,943,955,0,14,206840.4,215079.6,172240.0,180480.0,48.618,52.5
46,237,5.5,6.0,0.0,0.221,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,207796.4,212934.0,173200.0,178340.0,142.569,83.12
47,14,0.1,14.0,0.043,0.221,0.0,0.043,0.328,0.345,0.0,0.1246376811594203,328,345,0,43,214292.8,213614.0,179700.0,179020.0,74.305,86.125
48,30,0.5,9.0,0.0,0.221,0.0,0.0,0.998,0.844,0.0,0.0,998,844,0,0,208254.8,213154.0,173660.0,178560.0,62.92,193.915
49,89,2.0,5.0,0.0,0.221,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,210835.6,215832.8,176240.0,181240.0,87.311,61.337
50,396,9.0,18.0,0.021,0.221,0.0,0.021,1.0,1.0,0.0,0.021,1000,1000,0,21,206832.0,216939.2,172240.0,182340.0,96.294,77.238
51,341,8.0,5.0,0.0,0.221,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,212069.6,211329.6,177480.0,176740.0,218.191,84.952
52,283,6.5,10.0,0.0,0.221,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,210474.4,211474.8,175880.0,176880.0,53.909,131.545
53,392,9.0,14.0,0.419,0.419,0.001,0.419,1.0,0.998,0.001,0.4198396793587174,1000,998,1,419,206333.2,217332.8,171740.0,182740.0,106.145,116.443
54,384,9.0,6.0,0.002,0.419,0.0,0.002,1.0,1.0,0.0,0.002,1000,1000,0,2,215196.0,211251.6,180600.0,176660.0,68.416,127.012
55,374,8.5,17.0,0.0,0.419,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211716.0,210696.4,177120.0,176100.0,118.036,93.077
56,290,6.5,17.0,0.0,0.419,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209076.0,215794.4,174480.0,181200.0,74.66,95.859
57,251,5.5,20.0,0.0,0.419,0.022,0.0,0.593,0.982,0.03709949409780776,0.0,593,982,22,0,206975.6,219509.6,172380.0,184920.0,67.004,78.108
58,131,3.0,5.0,0.0,0.419,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,199567.6,215534.4,164980.0,180940.0,98.592,74.944
59,264,6.0,12.0,0.062,0.419,0.472,0.062,1.0,0.976,0.472,0.06352459016393443,1000,976,472,62,209979.6,210750.0,175380.0,176160.0,70.338,83.155
60,224,5.0,14.0,0.009,0.419,0.054,0.009,0.954,0.882,0.05660377358490566,0.01020408163265306,954,882,54,9,213248.0,217874.8,178660.0,183280.0,85.93,73.707
61,190,4.5,1.0,0.048,0.419,0.038,0.048,1.0,1.0,0.038,0.048,1000,1000,38,48,206837.2,218111.2,172240.0,183520.0,102.197,76.126
62,388,9.0,10.0,0.0,0.419,0.016,0.0,0.999,0.671,0.016016016016016016,0.0,999,671,16,0,205435.6,212030.0,170840.0,177440.0,131.906,48.79
63,108,2.5,3.0,0.0,0.419,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,217190.4,211512.8,182600.0,176920.0,77.625,89.664
64,263,6.0,11.0,0.0,0.419,0.0,0.0,0.999,1.0,0.0,0.0,999,1000,0,0,205931.6,211839.2,171340.0,177240.0,116.219,82.423
65,308,7.0,14.0,0.0,0.419,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,213113.2,218871.2,178520.0,184280.0,68.616,181.097
66,67,1.5,4.0,0.0,0.419,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208218.0,212749.6,173620.0,178160.0,90.605,157.559
67,225,5.0,15.0,0.039,0.419,0.002,0.039,0.886,0.997,0.002257336343115124,0.03911735205616851,886,997,2,39,202787.2,215801.6,168200.0,181200.0,86.72,70.999
68,300,7.0,6.0,0.0,0.419,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,215080.4,215200.0,180480.0,180600.0,96.057,110.453
69,144,3.0,18.0,0.05,0.419,0.003,0.05,0.789,0.973,0.0038022813688212928,0.051387461459403906,789,973,3,50,204538.8,213159.2,169940.0,178560.0,2.741,72.059
70,48,1.0,6.0,0.0,0.419,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209929.2,212376.4,175340.0,177780.0,76.322,40.295
71,402,9.5,3.0,0.0,0.419,0.001,0.0,1.0,1.0,0.001,0.0,1000,1000,1,0,211652.8,214834.0,177060.0,180240.0,95.059,56.714
72,226,5.0,16.0,0.055,0.419,0.001,0.055,1.0,0.626,0.001,0.0878594249201278,1000,626,1,55,205978.8,212653.2,171380.0,178060.0,82.173,122.621
73,127,3.0,1.0,0.004,0.419,0.0,0.004,1.0,1.0,0.0,0.004,1000,1000,0,4,203692.4,207370.4,169100.0,172780.0,88.159,79.23
74,194,4.5,5.0,0.0,0.419,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,218764.0,215082.0,184160.0,180480.0,56.443,45.509
75,163,3.5,16.0,0.0,0.419,0.004,0.0,0.587,1.0,0.0068143100511073255,0.0,587,1000,4,0,206204.0,210431.6,171600.0,175840.0,82.222,145.393
76,157,3.5,10.0,0.003,0.419,0.0,0.003,1.0,1.0,0.0,0.003,1000,1000,0,3,208331.6,206834.0,173740.0,172240.0,130.74,80.048
77,352,8.0,16.0,0.002,0.419,0.093,0.002,0.712,0.977,0.1306179775280899,0.0020470829068577278,712,977,93,2,210759.6,215658.4,176160.0,181060.0,85.878,136.066
78,120,2.5,15.0,0.0,0.419,0.0,0.0,0.997,0.978,0.0,0.0,997,978,0,0,214012.4,213013.2,179420.0,178420.0,93.836,101.736
79,101,2.0,17.0,0.002,0.419,0.013,0.002,0.402,0.15,0.03233830845771144,0.013333333333333334,402,150,13,2,208121.2,218747.6,173520.0,184160.0,74.455,75.78
80,198,4.5,9.0,0.0,0.419,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211513.6,216120.4,176920.0,181520.0,65.027,61.761
81,73,1.5,10.0,0.038,0.419,0.0,0.038,1.0,0.925,0.0,0.04108108108108108,1000,925,0,38,209374.0,210757.2,174780.0,176160.0,60.651,90.12
82,243,5.5,12.0,0.0,0.419,0.098,0.0,0.996,1.0,0.09839357429718876,0.0,996,1000,98,0,209393.6,212378.4,174800.0,177780.0,48.358,137.262
83,305,7.0,11.0,0.0,0.419,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205580.0,210430.4,170980.0,175840.0,75.05,53.265
84,53,1.0,11.0,0.012,0.419,0.001,0.012,0.115,0.905,0.008695652173913044,0.013259668508287293,115,905,1,12,202761.2,211797.6,168160.0,177200.0,2.469,131.705
85,24,0.5,3.0,0.002,0.419,0.0,0.002,1.0,1.0,0.0,0.002,1000,1000,0,2,209392.0,210074.4,174800.0,175480.0,103.644,46.431
86,376,8.5,19.0,0.0,0.419,0.0,0.0,0.276,1.0,0.0,0.0,276,1000,0,0,207616.8,218374.8,173020.0,183780.0,73.83,143.312
87,159,3.5,12.0,0.03,0.419,0.0,0.03,1.0,0.986,0.0,0.030425963488843813,1000,986,0,30,206582.0,213202.8,171980.0,178600.0,79.556,78.343
88,410,9.5,11.0,0.001,0.419,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,211475.6,217470.8,176880.0,182880.0,123.757,68.055
89,217,5.0,7.0,0.0,0.419,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205698.8,218615.6,171100.0,184020.0,114.948,175.673
90,328,7.5,13.0,0.0,0.419,0.006,0.0,0.983,1.0,0.006103763987792472,0.0,983,1000,6,0,211972.8,212113.6,177380.0,177520.0,55.046,84.06
91,216,5.0,6.0,0.0,0.419,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,206111.2,216690.4,171520.0,182100.0,53.384,65.357
92,398,9.0,20.0,0.0,0.419,0.032,0.0,0.929,1.0,0.03444564047362755,0.0,929,1000,32,0,204154.8,211328.0,169560.0,176740.0,86.477,86.495
93,6,0.1,6.0,0.002,0.419,0.0,0.002,1.0,0.996,0.0,0.002008032128514056,1000,996,0,2,204693.6,207695.2,170100.0,173100.0,75.204,71.889
94,42,1.0,0.1,0.004,0.419,0.0,0.004,1.0,1.0,0.0,0.004,1000,1000,0,4,199980.8,209588.0,165380.0,174980.0,84.474,124.845
95,355,8.0,19.0,0.0,0.419,0.0,0.0,0.564,1.0,0.0,0.0,564,1000,0,0,209016.0,215477.6,174420.0,180880.0,72.237,73.961
96,50,1.0,8.0,0.0,0.419,0.0,0.0,0.976,0.999,0.0,0.0,976,999,0,0,213790.8,218515.6,179200.0,183920.0,97.205,80.037
97,175,4.0,7.0,0.0,0.419,0.006,0.0,1.0,1.0,0.006,0.0,1000,1000,6,0,214748.0,214067.2,180160.0,179480.0,73.648,72.379
98,227,5.0,17.0,0.0,0.419,0.09,0.0,1.0,0.986,0.09,0.0,1000,986,90,0,209392.0,211370.8,174800.0,176780.0,61.408,96.854
99,75,1.5,12.0,0.0,0.419,0.313,0.0,0.998,0.953,0.313627254509018,0.0,998,953,313,0,215574.8,213514.0,180980.0,178920.0,80.91,70.2
100,151,3.5,4.0,0.0,0.419,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,214431.2,214694.4,179840.0,180100.0,71.815,144.546
