step,candidate_idx,kdist,kmono,objective_value,best_so_far,q_3nq9,q_4jsz,v_3nq9,v_4jsz,success_3nq9,success_4jsz,n_valid_3nq9,n_valid_4jsz,n_success_valid_3nq9,n_success_valid_4jsz,qpu_access_time_3nq9,qpu_access_time_4jsz,qpu_sampling_time_3nq9,qpu_sampling_time_4jsz,sample_elapsed_sec_3nq9,sample_elapsed_sec_4jsz
1,114,2.5,9.0,0.217,0.217,0.217,0.0,1.0,1.0,0.217,0.0,1000,1000,217,0,203788.4,212404.8,169200.0,177800.0,67.864,47.387
2,118,2.5,13.0,0.032,0.217,0.032,0.01,0.803,0.684,0.039850560398505604,0.014619883040935672,803,684,32,10,209970.8,216434.4,175380.0,181840.0,58.785,57.706
3,69,1.5,6.0,0.001,0.217,0.001,0.0,1.0,1.0,0.001,0.0,1000,1000,1,0,210571.2,213396.0,175980.0,178800.0,76.825,88.812
4,49,1.0,7.0,0.0,0.217,0.0,0.005,0.995,0.963,0.0,0.005192107995846314,995,963,0,5,211200.0,213697.2,176600.0,179100.0,73.949,130.602
5,88,2.0,4.0,0.002,0.217,0.002,0.0,1.0,1.0,0.002,0.0,1000,1000,2,0,209931.6,215036.0,175340.0,180440.0,57.686,111.425
6,21,0.5,0.1,0.001,0.217,0.001,0.53,1.0,1.0,0.001,0.53,1000,1000,1,530,213385.6,217996.0,178780.0,183380.0,75.476,127.247
7,419,9.5,20.0,0.0,0.217,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,207979.6,207327.2,173380.0,172740.0,86.573,113.36
8,285,6.5,12.0,0.0,0.217,0.0,0.268,1.0,1.0,0.0,0.268,1000,1000,0,268,208112.4,210566.0,173520.0,175980.0,68.009,125.401
9,109,2.5,4.0,0.0,0.217,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,199689.2,208473.6,165100.0,173880.0,90.492,75.867
10,316,7.5,1.0,0.0,0.217,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,211251.6,212073.2,176660.0,177480.0,58.901,105.272
11,425,10.0,5.0,0.007,0.217,0.007,0.0,1.0,1.0,0.007,0.0,1000,1000,7,0,208686.8,207974.8,174100.0,173380.0,90.593,85.574
12,325,7.5,10.0,0.005,0.217,0.005,0.0,0.99,1.0,0.005050505050505051,0.0,990,1000,5,0,210211.6,214578.4,175620.0,179980.0,79.077,50.576
13,98,2.0,14.0,0.013,0.217,0.013,0.0,0.308,0.163,0.04220779220779221,0.0,308,163,13,0,209434.4,207107.2,174840.0,172520.0,103.451,110.482
14,384,9.0,6.0,0.0,0.217,0.0,0.027,1.0,1.0,0.0,0.027,1000,1000,0,27,210973.6,205891.2,176380.0,171300.0,60.42,101.653
15,82,1.5,19.0,0.0,0.217,0.0,0.024,0.287,0.599,0.0,0.04006677796327212,287,599,0,24,216066.8,211611.6,181480.0,177020.0,91.621,128.02
16,113,2.5,8.0,0.0,0.217,0.0,0.019,1.0,1.0,0.0,0.019,1000,1000,0,19,205013.6,214572.4,170420.0,179980.0,157.592,85.791
17,122,2.5,17.0,0.02,0.217,0.02,0.0,0.515,0.994,0.038834951456310676,0.0,515,994,20,0,203106.0,205334.0,168520.0,170740.0,77.499,118.246
18,4,0.1,4.0,0.001,0.217,0.001,0.0,1.0,1.0,0.001,0.0,1000,1000,1,0,200568.0,217823.2,165980.0,183240.0,80.539,135.313
19,29,0.5,8.0,0.001,0.217,0.001,0.001,1.0,1.0,0.001,0.001,1000,1000,1,1,214936.4,210830.8,180340.0,176240.0,83.884,161.47
20,139,3.0,13.0,0.0,0.217,0.0,0.0,0.448,1.0,0.0,0.0,448,1000,0,0,209688.4,215153.6,175100.0,180560.0,45.932,101.45
21,115,2.5,10.0,0.001,0.217,0.001,0.001,0.997,0.998,0.0010030090270812437,0.001002004008016032,997,998,1,1,214294.4,210789.6,179700.0,176200.0,33.148,148.351
22,135,3.0,9.0,0.0,0.217,0.0,0.0,1.0,0.657,0.0,0.0,1000,657,0,0,210078.0,214297.6,175480.0,179700.0,91.621,49.374
23,93,2.0,9.0,0.032,0.217,0.032,0.06,1.0,0.999,0.032,0.06006006006006006,1000,999,32,60,207930.8,218517.2,173340.0,183920.0,130.224,57.011
24,320,7.5,5.0,0.997,0.997,0.997,0.0,1.0,1.0,0.997,0.0,1000,1000,997,0,211077.6,210837.6,176480.0,176240.0,47.276,54.423
25,299,7.0,5.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,201895.6,218113.2,167300.0,183520.0,126.851,58.159
26,341,8.0,5.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209396.8,215478.4,174800.0,180880.0,73.177,53.759
27,321,7.5,6.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208695.2,217475.2,174100.0,182880.0,58.199,37.816
28,319,7.5,4.0,0.0,0.997,0.0,0.003,1.0,1.0,0.0,0.003,1000,1000,0,3,211834.8,212022.8,177240.0,177420.0,59.701,107.927
29,272,6.0,20.0,0.0,0.997,0.0,0.059,1.0,1.0,0.0,0.059,1000,1000,0,59,201195.6,213613.2,166600.0,179020.0,78.026,137.415
30,434,10.0,14.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,210395.6,207251.2,175800.0,172660.0,47.156,87.798
31,189,4.5,0.1,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,213516.0,219017.6,178920.0,184420.0,116.253,94.476
32,420,10.0,0.1,0.0,0.997,0.0,0.813,1.0,1.0,0.0,0.813,1000,1000,0,813,204930.0,215934.8,170340.0,181340.0,44.737,119.912
33,331,7.5,16.0,0.0,0.997,0.0,0.0,1.0,0.999,0.0,0.0,1000,999,0,0,203076.4,219513.6,168480.0,184920.0,85.356,96.156
34,226,5.0,16.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,204837.2,205831.2,170240.0,171240.0,88.676,79.345
35,15,0.1,15.0,0.023,0.997,0.023,0.0,0.257,0.742,0.08949416342412451,0.0,257,742,23,0,206894.4,213378.8,172300.0,178780.0,91.543,138.607
36,429,10.0,9.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209977.2,211972.4,175380.0,177380.0,68.146,52.554
37,167,3.5,20.0,0.0,0.997,0.0,0.001,0.998,0.467,0.0,0.0021413276231263384,998,467,0,1,204837.2,219399.6,170240.0,184800.0,59.149,112.097
38,194,4.5,5.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,206391.6,215344.8,171800.0,180740.0,121.288,78.617
39,105,2.5,0.1,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,200188.4,212474.8,165600.0,177880.0,137.613,115.808
40,220,5.0,10.0,0.0,0.997,0.0,0.002,1.0,1.0,0.0,0.002,1000,1000,0,2,210756.4,214085.2,176160.0,179480.0,68.621,77.79
41,33,0.5,12.0,0.035,0.997,0.035,0.003,0.682,0.989,0.051319648093841645,0.003033367037411527,682,989,35,3,207694.8,220393.6,173100.0,185800.0,105.361,122.013
42,389,9.0,11.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209655.2,209759.2,175060.0,175160.0,116.579,111.709
43,253,6.0,1.0,0.0,0.997,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,202401.6,212755.6,167800.0,178160.0,80.403,134.488
44,395,9.0,17.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,212759.2,210699.2,178160.0,176100.0,63.205,67.451
45,354,8.0,18.0,0.0,0.997,0.0,0.005,1.0,1.0,0.0,0.005,1000,1000,0,5,219892.0,212468.8,185300.0,177880.0,61.535,82.337
46,162,3.5,15.0,0.0,0.997,0.0,0.0,0.922,0.307,0.0,0.0,922,307,0,0,206975.2,211609.6,172380.0,177020.0,76.089,81.059
47,377,8.5,20.0,0.0,0.997,0.0,0.207,1.0,1.0,0.0,0.207,1000,1000,0,207,206072.0,218894.8,171480.0,184300.0,2.5,139.116
48,365,8.5,8.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205580.4,208333.6,170980.0,173740.0,83.607,122.836
49,304,7.0,10.0,0.0,0.997,0.0,0.015,1.0,0.483,0.0,0.031055900621118012,1000,483,0,15,208337.2,215034.8,173740.0,180440.0,68.078,53.315
50,387,9.0,9.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,204837.6,214158.4,170240.0,179560.0,150.706,121.243
51,241,5.5,10.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,213118.0,212294.4,178520.0,177700.0,89.067,107.172
52,112,2.5,7.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208474.0,216072.4,173880.0,181480.0,74.508,108.662
53,234,5.5,3.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209932.4,211976.4,175340.0,177380.0,87.124,97.606
54,55,1.0,13.0,0.0,0.997,0.0,0.001,0.435,0.942,0.0,0.0010615711252653928,435,942,0,1,211581.6,209513.2,176980.0,174920.0,54.457,106.784
55,423,10.0,3.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,214754.8,210017.2,180160.0,175420.0,138.977,70.885
56,197,4.5,8.0,0.0,0.997,0.0,0.005,0.999,0.988,0.0,0.005060728744939271,999,988,0,5,211711.6,216982.0,177120.0,182380.0,43.543,27.965
57,142,3.0,16.0,0.001,0.997,0.001,0.0,0.998,0.986,0.001002004008016032,0.0,998,986,1,0,210656.4,204693.2,176060.0,170100.0,159.508,118.094
58,281,6.5,8.0,0.0,0.997,0.0,0.003,1.0,1.0,0.0,0.003,1000,1000,0,3,212472.4,215937.6,177880.0,181340.0,96.826,42.862
59,342,8.0,6.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209332.8,217720.0,174740.0,183120.0,101.882,105.737
60,246,5.5,15.0,0.002,0.997,0.002,0.0,0.999,1.0,0.002002002002002002,0.0,999,1000,2,0,206829.6,211570.0,172240.0,176980.0,79.177,124.415
61,96,2.0,12.0,0.095,0.997,0.095,0.001,0.944,1.0,0.10063559322033898,0.001,944,1000,95,1,216938.4,216194.8,182340.0,181600.0,45.134,83.383
62,211,5.0,1.0,0.013,0.997,0.013,0.0,1.0,1.0,0.013,0.0,1000,1000,13,0,214790.8,216972.0,180200.0,182380.0,77.354,116.163
63,312,7.0,18.0,0.0,0.997,0.0,0.002,1.0,0.995,0.0,0.0020100502512562816,1000,995,0,2,220156.4,213614.8,185560.0,179020.0,82.126,123.104
64,426,10.0,6.0,0.2,0.997,0.2,0.001,1.0,1.0,0.2,0.001,1000,1000,200,1,218115.2,214608.0,183520.0,180020.0,57.789,93.611
65,152,3.5,5.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,213437.6,215199.2,178840.0,180600.0,112.509,96.407
66,313,7.0,19.0,0.001,0.997,0.001,0.044,0.757,0.945,0.001321003963011889,0.04656084656084656,757,945,1,44,208198.0,212537.2,173600.0,177940.0,84.292,66.123
67,290,6.5,17.0,0.013,0.997,0.013,0.256,0.855,0.868,0.0152046783625731,0.29493087557603687,855,868,13,256,205340.8,217338.0,170740.0,182740.0,90.325,91.542
68,239,5.5,8.0,0.001,0.997,0.001,0.0,1.0,0.979,0.001,0.0,1000,979,1,0,209472.4,205967.2,174880.0,171380.0,128.183,116.005
69,200,4.5,11.0,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,214162.0,213020.0,179560.0,178420.0,68.964,51.049
70,210,5.0,0.1,0.0,0.997,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,204328.0,210215.2,169740.0,175620.0,51.081,63.532
