step,candidate_idx,kdist,kmono,objective_value,best_so_far,q_3nq9,q_4jsz,v_3nq9,v_4jsz,success_3nq9,success_4jsz,n_valid_3nq9,n_valid_4jsz,n_success_valid_3nq9,n_success_valid_4jsz,qpu_access_time_3nq9,qpu_access_time_4jsz,qpu_sampling_time_3nq9,qpu_sampling_time_4jsz,sample_elapsed_sec_3nq9,sample_elapsed_sec_4jsz
1,121,2.5,16.0,0.008,0.008,0.001,0.008,0.889,0.816,0.0011248593925759281,0.00980392156862745,889,816,1,8,200251.2,213789.6,165660.0,179200.0,180.904,103.131
2,200,4.5,11.0,0.01,0.01,0.0,0.01,1.0,0.341,0.0,0.02932551319648094,1000,341,0,10,207606.4,203833.6,173020.0,169240.0,178.402,158.215
3,336,8.0,0.1,0.0,0.01,0.0,0.0,1.0,0.984,0.0,0.0,1000,984,0,0,206930.8,216432.0,172340.0,181840.0,94.599,43.307
4,79,1.5,16.0,0.0,0.01,0.001,0.0,0.096,0.217,0.010416666666666666,0.0,96,217,1,0,206976.8,212611.6,172380.0,178020.0,80.781,73.581
5,374,8.5,17.0,0.065,0.065,0.0,0.065,1.0,0.907,0.0,0.07166482910694598,1000,907,0,65,207149.2,212940.8,172560.0,178340.0,125.704,78.512
6,131,3.0,5.0,0.0,0.065,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,210469.2,216570.4,175880.0,181980.0,85.877,50.126
7,210,5.0,0.1,0.0,0.065,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,217835.6,210976.8,183240.0,176380.0,83.859,190.28
8,7,0.1,7.0,0.001,0.065,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,209249.2,211895.2,174660.0,177300.0,169.475,88.493
9,22,0.5,1.0,0.0,0.065,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,212978.0,213390.4,178380.0,178780.0,88.645,126.35
10,417,9.5,18.0,0.0,0.065,0.0,0.0,1.0,0.992,0.0,0.0,1000,992,0,0,208425.6,212217.2,173840.0,177620.0,100.583,71.829
11,50,1.0,8.0,0.0,0.065,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211691.2,210107.6,177100.0,175520.0,50.343,79.385
