Pose_ID,RMSD(A),Shape_Diff(A),Feasible,Success(<=2.0A)
216,1.3799,0.0,True,True
217,1.3799,0.0,True,True
218,1.3799,0.0,True,True
219,1.3799,0.0,True,True
220,1.3799,0.0,True,True
221,1.3799,0.0,True,True
222,1.3799,0.0,True,True
223,1.3799,0.0,True,True
224,1.3799,0.0,True,True
225,1.3799,0.0,True,True
226,1.3799,0.0,True,True
227,1.3799,0.0,True,True
228,1.3799,0.0,True,True
229,1.3799,0.0,True,True
230,1.3799,0.0,True,True
231,1.3799,0.0,True,True
232,1.3799,0.0,True,True
233,1.3799,0.0,True,True
234,1.3799,0.0,True,True
235,1.3799,0.0,True,True
236,1.3799,0.0,True,True
237,1.3799,0.0,True,True
238,1.3799,0.0,True,True
239,1.3799,0.0,True,True
240,1.3799,0.0,True,True
241,1.3799,0.0,True,True
242,1.3799,0.0,True,True
243,1.3799,0.0,True,True
244,1.3799,0.0,True,True
245,1.3799,0.0,True,True
246,1.3799,0.0,True,True
247,1.3799,0.0,True,True
248,1.3799,0.0,True,True
249,1.3799,0.0,True,True
250,1.3799,0.0,True,True
251,1.3799,0.0,True,True
252,1.3799,0.0,True,True
253,1.3799,0.0,True,True
254,1.3799,0.0,True,True
255,1.3799,0.0,True,True
256,1.3799,0.0,True,True
257,1.3799,0.0,True,True
258,1.3799,0.0,True,True
259,1.3799,0.0,True,True
260,1.3799,0.0,True,True
261,1.3799,0.0,True,True
262,1.3799,0.0,True,True
263,1.3799,0.0,True,True
264,1.3799,0.0,True,True
265,1.3799,0.0,True,True
266,1.3799,0.0,True,True
267,1.3799,0.0,True,True
268,1.3799,0.0,True,True
269,1.3799,0.0,True,True
270,1.3799,0.0,True,True
271,1.3799,0.0,True,True
272,1.3799,0.0,True,True
273,1.3799,0.0,True,True
274,1.3799,0.0,True,True
275,1.3799,0.0,True,True
276,1.3799,0.0,True,True
277,1.3799,0.0,True,True
278,1.3799,0.0,True,True
279,1.3799,0.0,True,True
280,1.3799,0.0,True,True
281,1.3799,0.0,True,True
282,1.3799,0.0,True,True
283,1.3799,0.0,True,True
284,1.3799,0.0,True,True
285,1.3799,0.0,True,True
286,1.3799,0.0,True,True
287,1.3799,0.0,True,True
288,1.3799,0.0,True,True
289,1.3799,0.0,True,True
290,1.3799,0.0,True,True
291,1.3799,0.0,True,True
292,1.3799,0.0,True,True
293,1.3799,0.0,True,True
294,1.3799,0.0,True,True
295,1.3799,0.0,True,True
296,1.3799,0.0,True,True
297,1.3799,0.0,True,True
298,1.3799,0.0,True,True
299,1.3799,0.0,True,True
300,1.3799,0.0,True,True
301,1.3799,0.0,True,True
302,1.3799,0.0,True,True
303,1.3799,0.0,True,True
304,1.3799,0.0,True,True
305,1.3799,0.0,True,True
306,1.3799,0.0,True,True
307,1.3799,0.0,True,True
308,1.3799,0.0,True,True
309,1.3799,0.0,True,True
310,1.3799,0.0,True,True
311,1.3799,0.0,True,True
312,1.3799,0.0,True,True
313,1.3799,0.0,True,True
314,1.3799,0.0,True,True
315,1.3799,0.0,True,True
316,1.3799,0.0,True,True
317,1.3799,0.0,True,True
318,1.3799,0.0,True,True
319,1.3799,0.0,True,True
320,1.3799,0.0,True,True
321,1.3799,0.0,True,True
322,1.3799,0.0,True,True
323,1.3799,0.0,True,True
324,1.3799,0.0,True,True
325,1.3799,0.0,True,True
326,1.3799,0.0,True,True
327,1.3799,0.0,True,True
328,1.3799,0.0,True,True
