ligand,method,step,n_runs,mean_best_so_far,ci95,ci_lo,ci_hi
3nq9,bo,87,5,0.74040,0.26272,0.47768,1.00312
3nq9,bo,88,5,0.74040,0.26272,0.47768,1.00312
3nq9,bo,89,5,0.74040,0.26272,0.47768,1.00312
3nq9,bo,90,5,0.74040,0.26272,0.47768,1.00312
3nq9,bo,91,5,0.74040,0.26272,0.47768,1.00312
3nq9,bo,92,5,0.74040,0.26272,0.47768,1.00312
3nq9,bo,93,5,0.74040,0.26272,0.47768,1.00312
3nq9,bo,94,5,0.74040,0.26272,0.47768,1.00312
3nq9,bo,95,5,0.74040,0.26272,0.47768,1.00312
3nq9,bo,96,5,0.74040,0.26272,0.47768,1.00312
3nq9,bo,97,5,0.74040,0.26272,0.47768,1.00312
3nq9,bo,98,5,0.74040,0.26272,0.47768,1.00312
3nq9,bo,99,5,0.74040,0.26272,0.47768,1.00312
3nq9,bo,100,5,0.74040,0.26272,0.47768,1.00312
3nq9,random,1,5,0.00000,0.00000,0.00000,0.00000
3nq9,random,2,5,0.00000,0.00000,0.00000,0.00000
3nq9,random,3,5,0.05400,0.09912,-0.04512,0.15312
3nq9,random,4,5,0.06640,0.09351,-0.02711,0.15991
3nq9,random,5,5,0.06640,0.09351,-0.02711,0.15991
3nq9,random,6,5,0.06640,0.09351,-0.02711,0.15991
3nq9,random,7,5,0.11240,0.10616,0.00624,0.21856
3nq9,random,8,5,0.11240,0.10616,0.00624,0.21856
3nq9,random,9,5,0.11240,0.10616,0.00624,0.21856
3nq9,random,10,5,0.11240,0.10616,0.00624,0.21856
3nq9,random,11,5,0.11240,0.10616,0.00624,0.21856
3nq9,random,12,5,0.15200,0.09905,0.05295,0.25105
3nq9,random,13,5,0.18020,0.12847,0.05173,0.30867
3nq9,random,14,5,0.18020,0.12847,0.05173,0.30867
3nq9,random,15,5,0.18020,0.12847,0.05173,0.30867
3nq9,random,16,5,0.18020,0.12847,0.05173,0.30867
3nq9,random,17,5,0.18020,0.12847,0.05173,0.30867
3nq9,random,18,5,0.18020,0.12847,0.05173,0.30867
3nq9,random,19,5,0.18020,0.12847,0.05173,0.30867
3nq9,random,20,5,0.18020,0.12847,0.05173,0.30867
3nq9,random,21,5,0.18020,0.12847,0.05173,0.30867
3nq9,random,22,5,0.18020,0.12847,0.05173,0.30867
3nq9,random,23,5,0.18020,0.12847,0.05173,0.30867
3nq9,random,24,5,0.18020,0.12847,0.05173,0.30867
3nq9,random,25,5,0.26520,0.13636,0.12884,0.40156
3nq9,random,26,5,0.26520,0.13636,0.12884,0.40156
3nq9,random,27,5,0.26520,0.13636,0.12884,0.40156
3nq9,random,28,5,0.26520,0.13636,0.12884,0.40156
3nq9,random,29,5,0.31100,0.20672,0.10428,0.51772
3nq9,random,30,5,0.31100,0.20672,0.10428,0.51772
3nq9,random,31,5,0.33960,0.20109,0.13851,0.54069
3nq9,random,32,5,0.33960,0.20109,0.13851,0.54069
3nq9,random,33,5,0.33960,0.20109,0.13851,0.54069
3nq9,random,34,5,0.33960,0.20109,0.13851,0.54069
3nq9,random,35,5,0.33960,0.20109,0.13851,0.54069
3nq9,random,36,5,0.33960,0.20109,0.13851,0.54069
3nq9,random,37,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,38,5,0.43920,0.15276,0.28644,0.59196
