step,candidate_idx,kdist,kmono,objective_value,best_so_far,q_3nq9,q_4jsz,v_3nq9,v_4jsz,success_3nq9,success_4jsz,n_valid_3nq9,n_valid_4jsz,n_success_valid_3nq9,n_success_valid_4jsz,qpu_access_time_3nq9,qpu_access_time_4jsz,qpu_sampling_time_3nq9,qpu_sampling_time_4jsz,sample_elapsed_sec_3nq9,sample_elapsed_sec_4jsz
1,401,9.5,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205974.4,219393.2,171380.0,184800.0,48.887,144.803
2,130,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,216189.6,211790.8,181600.0,177200.0,127.809,77.441
3,418,9.5,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,214829.2,212796.4,180240.0,178200.0,58.763,81.556
4,414,9.5,15.0,0.012,0.012,0.057,0.012,1.0,0.989,0.057,0.012133468149646108,1000,989,57,12,211191.2,217330.0,176600.0,182740.0,134.977,115.112
5,378,9.0,0.1,0.0,0.012,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,204650.8,210018.4,170060.0,175420.0,109.037,153.87
6,324,7.5,9.0,0.0,0.012,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,204520.8,209652.0,169940.0,175060.0,3.001,155.194
7,376,8.5,19.0,0.005,0.012,0.001,0.005,1.0,0.199,0.001,0.02512562814070352,1000,199,1,5,204648.8,214198.0,170060.0,179600.0,127.625,63.018
8,115,2.5,10.0,0.009,0.012,0.0,0.009,1.0,1.0,0.0,0.009,1000,1000,0,9,207433.6,216335.6,172840.0,181740.0,67.529,42.476
9,349,8.0,13.0,0.034,0.034,0.03,0.034,1.0,0.999,0.03,0.03403403403403404,1000,999,30,34,211829.6,212796.4,177240.0,178200.0,56.644,96.726
10,323,7.5,8.0,0.001,0.034,0.003,0.001,1.0,1.0,0.003,0.001,1000,1000,3,1,215444.0,216195.2,180840.0,181600.0,141.004,87.067
11,126,3.0,0.1,0.0,0.034,0.0,0.0,0.999,1.0,0.0,0.0,999,1000,0,0,211162.0,211518.4,176560.0,176920.0,108.852,117.728
12,341,8.0,5.0,0.0,0.034,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209334.4,215036.0,174740.0,180440.0,90.591,64.782
