step,candidate_idx,kdist,kmono,objective_value,best_so_far,q_3nq9,q_4jsz,v_3nq9,v_4jsz,success_3nq9,success_4jsz,n_valid_3nq9,n_valid_4jsz,n_success_valid_3nq9,n_success_valid_4jsz,qpu_access_time_3nq9,qpu_access_time_4jsz,qpu_sampling_time_3nq9,qpu_sampling_time_4jsz,sample_elapsed_sec_3nq9,sample_elapsed_sec_4jsz
1,418,9.5,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209017.6,212476.8,174420.0,177880.0,134.496,85.713
2,220,5.0,10.0,0.093,0.093,0.033,0.093,1.0,1.0,0.033,0.093,1000,1000,33,93,209941.2,206656.0,175340.0,172060.0,49.095,73.905
3,169,4.0,1.0,0.0,0.093,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208752.4,214256.0,174160.0,179660.0,89.305,106.373
4,337,8.0,1.0,0.0,0.093,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,202514.0,211399.6,167920.0,176800.0,110.266,142.072
5,394,9.0,16.0,0.0,0.093,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208575.2,214578.8,173980.0,179980.0,148.962,70.215
6,315,7.5,0.1,0.0,0.093,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,210291.6,211799.6,175700.0,177200.0,70.408,124.93
7,106,2.5,1.0,0.0,0.093,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,210472.0,215830.0,175880.0,181240.0,101.39,88.047
8,240,5.5,9.0,0.008,0.093,0.0,0.008,1.0,1.0,0.0,0.008,1000,1000,0,8,207714.4,215931.2,173120.0,181340.0,60.944,78.495
9,98,2.0,14.0,0.022,0.093,0.0,0.022,1.0,0.847,0.0,0.025974025974025976,1000,847,0,22,207195.2,212872.0,172600.0,178280.0,113.964,56.264
10,16,0.1,16.0,0.0,0.093,0.382,0.0,0.893,0.865,0.42777155655095184,0.0,893,865,382,0,200516.0,211069.2,165920.0,176480.0,2.428,113.686
11,22,0.5,1.0,0.879,0.879,0.0,0.879,1.0,1.0,0.0,0.879,1000,1000,0,879,216346.0,212550.0,181740.0,177940.0,50.376,134.074
12,353,8.0,17.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,207537.2,211399.6,172940.0,176800.0,51.912,84.645
13,293,6.5,20.0,0.017,0.879,0.0,0.017,1.0,1.0,0.0,0.017,1000,1000,0,17,217570.0,215010.4,182980.0,180420.0,147.263,143.541
14,279,6.5,6.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208976.4,206198.8,174380.0,171600.0,89.162,105.097
15,174,4.0,6.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,213160.0,212748.0,178560.0,178160.0,100.095,56.261
16,129,3.0,3.0,0.006,0.879,0.0,0.006,1.0,1.0,0.0,0.006,1000,1000,0,6,219112.4,208757.6,184520.0,174160.0,45.676,99.806
17,144,3.0,18.0,0.053,0.879,0.001,0.053,1.0,0.397,0.001,0.13350125944584382,1000,397,1,53,210871.2,218514.4,176280.0,183920.0,64.371,79.612
18,141,3.0,15.0,0.046,0.879,0.012,0.046,0.975,0.973,0.012307692307692308,0.047276464542651594,975,973,12,46,203436.0,215152.8,168840.0,180560.0,78.206,79.363
19,384,9.0,6.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,203936.0,210615.2,169340.0,176020.0,99.605,133.047
20,199,4.5,10.0,0.003,0.879,0.0,0.003,1.0,0.713,0.0,0.004207573632538569,1000,713,0,3,204937.6,213436.0,170340.0,178840.0,110.874,103.536
21,1,0.1,1.0,0.009,0.879,0.0,0.009,1.0,1.0,0.0,0.009,1000,1000,0,9,209446.4,211535.6,174840.0,176920.0,164.417,114.962
22,43,1.0,1.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211406.8,211812.4,176800.0,177200.0,66.339,56.163
23,21,0.5,0.1,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,204203.6,211269.6,169600.0,176660.0,106.91,109.779
24,23,0.5,2.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,218212.4,214256.0,183620.0,179660.0,80.544,123.225
25,243,5.5,12.0,0.014,0.879,0.003,0.014,1.0,0.998,0.003,0.014028056112224449,1000,998,3,14,208898.0,216474.8,174300.0,181880.0,90.75,105.366
26,9,0.1,9.0,0.0,0.879,0.009,0.0,0.994,0.996,0.009054325955734407,0.0,994,996,9,0,207980.4,210896.4,173380.0,176300.0,55.757,120.185
27,83,1.5,20.0,0.0,0.879,0.001,0.0,0.975,0.836,0.0010256410256410256,0.0,975,836,1,0,203541.2,212391.2,168940.0,177800.0,87.355,101.991
28,206,4.5,17.0,0.0,0.879,0.077,0.0,1.0,0.999,0.077,0.0,1000,999,77,0,216295.6,215073.6,181700.0,180480.0,99.839,56.699
29,431,10.0,11.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,218874.4,213038.8,184280.0,178440.0,121.695,50.172
30,420,10.0,0.1,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,212794.8,210976.0,178200.0,176380.0,40.617,65.702
31,327,7.5,12.0,0.0,0.879,0.002,0.0,1.0,1.0,0.002,0.0,1000,1000,2,0,208216.4,214792.8,173620.0,180200.0,82.815,140.294
32,92,2.0,8.0,0.0,0.879,0.002,0.0,0.979,0.996,0.0020429009193054137,0.0,979,996,2,0,214150.0,218121.6,179560.0,183520.0,103.316,42.838
33,254,6.0,2.0,0.0,0.879,0.005,0.0,1.0,1.0,0.005,0.0,1000,1000,5,0,208625.2,212513.6,174020.0,177920.0,56.045,123.159
34,188,4.0,20.0,0.742,0.879,0.194,0.742,0.256,1.0,0.7578125,0.742,256,1000,194,742,216688.4,213027.6,182100.0,178440.0,78.612,65.912
35,209,4.5,20.0,0.05,0.879,0.139,0.05,1.0,0.999,0.139,0.05005005005005005,1000,999,139,50,214016.4,210336.8,179420.0,175740.0,154.893,176.942
36,167,3.5,20.0,0.001,0.879,0.519,0.001,0.619,0.981,0.8384491114701131,0.0010193679918450561,619,981,519,1,214519.6,219394.4,179920.0,184800.0,66.567,84.01
37,187,4.0,19.0,0.009,0.879,0.004,0.009,1.0,0.827,0.004,0.010882708585247884,1000,827,4,9,206971.2,215147.6,172380.0,180560.0,91.088,100.492
38,268,6.0,16.0,0.017,0.879,0.002,0.017,1.0,0.988,0.002,0.01720647773279352,1000,988,2,17,218474.4,209928.0,183880.0,175340.0,79.255,97.312
39,33,0.5,12.0,0.008,0.879,0.0,0.008,0.992,0.969,0.0,0.008255933952528379,992,969,0,8,200758.0,218210.4,166160.0,183620.0,57.464,156.626
40,345,8.0,9.0,0.001,0.879,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,215532.0,212536.4,180940.0,177940.0,71.47,124.429
41,116,2.5,11.0,0.007,0.879,0.001,0.007,1.0,0.644,0.001,0.010869565217391304,1000,644,1,7,211790.8,217615.6,177200.0,183020.0,29.542,47.021
42,423,10.0,3.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208396.8,215979.2,173800.0,181380.0,119.248,45.898
43,20,0.1,20.0,0.0,0.879,0.0,0.0,0.923,0.986,0.0,0.0,923,986,0,0,199934.0,219760.8,165340.0,185160.0,140.858,101.75
44,101,2.0,17.0,0.005,0.879,0.0,0.005,1.0,0.565,0.0,0.008849557522123894,1000,565,0,5,212396.0,211712.0,177800.0,177120.0,79.786,113.266
45,181,4.0,13.0,0.053,0.879,0.0,0.053,0.998,0.839,0.0,0.0631704410011919,998,839,0,53,208473.6,214660.0,173880.0,180060.0,70.307,46.929
46,356,8.0,20.0,0.062,0.879,0.0,0.062,1.0,1.0,0.0,0.062,1000,1000,0,62,212939.6,212792.8,178340.0,178200.0,62.748,143.964
47,434,10.0,14.0,0.003,0.879,0.0,0.003,1.0,1.0,0.0,0.003,1000,1000,0,3,204068.4,218714.0,169480.0,184120.0,61.708,191.651
48,428,10.0,8.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209070.0,206836.0,174480.0,172240.0,28.329,74.347
49,6,0.1,6.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208721.2,212536.8,174120.0,177940.0,72.561,73.288
50,319,7.5,4.0,0.094,0.879,0.0,0.094,1.0,1.0,0.0,0.094,1000,1000,0,94,210608.4,214194.8,176020.0,179600.0,95.876,128.42
51,214,5.0,4.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205980.0,213539.6,171380.0,178940.0,109.299,64.158
52,89,2.0,5.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,213969.6,211751.6,179380.0,177160.0,126.508,137.449
53,360,8.5,3.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209974.4,212158.8,175380.0,177560.0,108.423,67.853
54,309,7.0,15.0,0.009,0.879,0.0,0.009,0.998,1.0,0.0,0.009,998,1000,0,9,210376.0,211256.4,175780.0,176660.0,113.58,82.016
55,370,8.5,13.0,0.114,0.879,0.0,0.114,1.0,0.999,0.0,0.11411411411411411,1000,999,0,114,212511.2,211760.0,177920.0,177160.0,63.033,103.984
56,210,5.0,0.1,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,207716.0,209645.2,173120.0,175060.0,88.445,131.716
57,224,5.0,14.0,0.013,0.879,0.0,0.013,1.0,0.943,0.0,0.013785790031813362,1000,943,0,13,202472.0,217833.2,167880.0,183240.0,83.336,72.626
58,283,6.5,10.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,206795.6,215200.0,172200.0,180600.0,70.021,56.596
59,155,3.5,8.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,206614.8,217874.4,172020.0,183280.0,71.996,91.865
60,389,9.0,11.0,0.288,0.879,0.0,0.288,1.0,1.0,0.0,0.288,1000,1000,0,288,214010.0,213664.0,179420.0,179060.0,88.741,90.539
61,387,9.0,9.0,0.0,0.879,0.071,0.0,1.0,1.0,0.071,0.0,1000,1000,71,0,213519.6,213296.4,178920.0,178700.0,44.301,125.881
62,312,7.0,18.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,210336.4,217072.0,175740.0,182480.0,115.503,90.566
63,322,7.5,7.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208576.0,215070.8,173980.0,180480.0,54.393,77.45
64,437,10.0,17.0,0.01,0.879,0.0,0.01,1.0,1.0,0.0,0.01,1000,1000,0,10,214790.8,216574.4,180200.0,181980.0,111.174,44.954
65,73,1.5,10.0,0.014,0.879,0.0,0.014,1.0,0.997,0.0,0.014042126379137413,1000,997,0,14,211195.6,216694.4,176600.0,182100.0,57.3,74.491
66,217,5.0,7.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209928.8,215789.6,175340.0,181200.0,85.819,78.622
67,57,1.0,15.0,0.0,0.879,0.0,0.0,0.643,0.683,0.0,0.0,643,683,0,0,217343.2,219396.4,182740.0,184800.0,57.159,137.61
68,39,0.5,18.0,0.201,0.879,0.0,0.201,0.658,0.518,0.0,0.38803088803088803,658,518,0,201,202883.6,211198.4,168300.0,176600.0,99.926,88.8
69,277,6.5,4.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208074.4,213156.8,173480.0,178560.0,102.201,60.516
70,378,9.0,0.1,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,204535.2,214078.0,169940.0,179480.0,98.816,54.634
71,273,6.5,0.1,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205929.2,218215.2,171340.0,183620.0,81.4,93.455
72,183,4.0,15.0,0.021,0.879,0.001,0.021,1.0,0.896,0.001,0.0234375,1000,896,1,21,205374.0,216296.4,170780.0,181700.0,68.775,104.545
73,139,3.0,13.0,0.01,0.879,0.0,0.01,0.999,0.875,0.0,0.011428571428571429,999,875,0,10,206689.2,212467.6,172100.0,177880.0,67.003,79.537
74,351,8.0,15.0,0.192,0.879,0.0,0.192,1.0,1.0,0.0,0.192,1000,1000,0,192,212613.2,215977.2,178020.0,181380.0,79.841,111.943
75,249,5.5,18.0,0.002,0.879,0.002,0.002,0.999,0.938,0.002002002002002002,0.0021321961620469083,999,938,2,2,219653.2,214700.8,185060.0,180100.0,2.446,58.694
76,171,4.0,3.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205572.8,217474.8,170980.0,182880.0,129.055,44.289
77,75,1.5,12.0,0.0,0.879,0.03,0.0,0.733,0.958,0.040927694406548434,0.0,733,958,30,0,207610.0,214516.4,173020.0,179920.0,54.06,133.283
78,237,5.5,6.0,0.014,0.879,0.0,0.014,1.0,1.0,0.0,0.014,1000,1000,0,14,214696.4,214693.2,180100.0,180100.0,74.133,76.719
79,27,0.5,6.0,0.0,0.879,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,215152.0,213795.6,180560.0,179200.0,74.552,54.759
80,173,4.0,5.0,0.044,0.879,0.0,0.044,1.0,1.0,0.0,0.044,1000,1000,0,44,217611.2,212539.6,183020.0,177940.0,129.149,51.558
