mode,query_tag,ligand,kdist,kmono,n_reads,n_valid,n_success_valid,validity_rate,success_rate,quality,qpu_access_time,qpu_sampling_time,sample_elapsed_sec,mRMSD,avg_RMSD,physical_qubits,max_chain_length,raw_case_id,step,candidate_idx,objective,objective_value,best_so_far
qpu,prereg_3nq9_bo_s20260804005_s001,3nq9,4.0,13.0,1000,1000,0,1.0,0.0,0.0,211395.6,176800.0,130.78,3.010860520919671,5.3824546,1990.0,23.0,3nq9_Kdist4.000_Kmono13.000,1,181,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_bo_s20260804005_s001,4jsz,4.0,13.0,1000,999,7,0.999,0.007007007007007007,0.007,211898.0,177300.0,110.468,0.9358424012620915,4.3251427427427425,2441.0,26.0,4jsz_Kdist4.000_Kmono13.000,1,181,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_bo_s20260804005_s002,3nq9,8.0,12.0,1000,1000,0,1.0,0.0,0.0,208335.6,173740.0,82.567,2.241895742155806,4.2998273000000005,2057.0,25.0,3nq9_Kdist8.000_Kmono12.000,2,348,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_bo_s20260804005_s002,4jsz,8.0,12.0,1000,1000,3,1.0,0.003,0.003,216621.6,182020.0,89.73,0.8924743693798701,3.4702764,2892.0,31.0,4jsz_Kdist8.000_Kmono12.000,2,348,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_bo_s20260804005_s003,3nq9,5.5,4.0,1000,1000,0,1.0,0.0,0.0,207660.4,173060.0,120.837,2.9391289378129666,3.8049279,2074.0,24.0,3nq9_Kdist5.500_Kmono4.000,3,235,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_bo_s20260804005_s003,4jsz,5.5,4.0,1000,1000,0,1.0,0.0,0.0,214194.4,179600.0,68.422,2.9191420606358482,3.818573,2658.0,28.0,4jsz_Kdist5.500_Kmono4.000,3,235,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_bo_s20260804005_s004,3nq9,4.5,13.0,1000,1000,0,1.0,0.0,0.0,204656.8,170060.0,80.119,2.9547510893474587,4.5747449,1973.0,22.0,3nq9_Kdist4.500_Kmono13.000,4,202,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_bo_s20260804005_s004,4jsz,4.5,13.0,1000,999,0,0.999,0.0,0.0,216074.8,181480.0,66.068,2.3561050420214427,4.11083953953954,2627.0,30.0,4jsz_Kdist4.500_Kmono13.000,4,202,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_bo_s20260804005_s005,3nq9,8.0,19.0,1000,1000,0,1.0,0.0,0.0,210748.4,176160.0,60.583,2.656701157251214,4.6574072,2306.0,28.0,3nq9_Kdist8.000_Kmono19.000,5,355,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_bo_s20260804005_s005,4jsz,8.0,19.0,1000,1000,0,1.0,0.0,0.0,218475.2,183880.0,84.463,2.547088285909423,3.3565243000000007,2394.0,26.0,4jsz_Kdist8.000_Kmono19.000,5,355,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_bo_s20260804005_s006,3nq9,3.5,7.0,1000,927,12,0.927,0.012944983818770227,0.012,204304.0,169700.0,63.492,1.6473402805735082,6.350377562028046,2058.0,24.0,3nq9_Kdist3.500_Kmono7.000,6,154,quality_3nq9,0.012,0.012
qpu,prereg_3nq9_bo_s20260804005_s006,4jsz,3.5,7.0,1000,1000,0,1.0,0.0,0.0,215335.2,180740.0,68.22,4.388871624346172,5.1558445,2803.0,31.0,4jsz_Kdist3.500_Kmono7.000,6,154,quality_3nq9,0.012,0.012
qpu,prereg_3nq9_bo_s20260804005_s007,3nq9,4.0,11.0,1000,1000,12,1.0,0.012,0.012,215295.6,180700.0,109.871,1.46202804350669,5.2002941,2051.0,25.0,3nq9_Kdist4.000_Kmono11.000,7,179,quality_3nq9,0.012,0.012
qpu,prereg_3nq9_bo_s20260804005_s007,4jsz,4.0,11.0,1000,1000,0,1.0,0.0,0.0,211196.4,176600.0,80.889,2.109465989441849,4.0285427,2581.0,28.0,4jsz_Kdist4.000_Kmono11.000,7,179,quality_3nq9,0.012,0.012
qpu,prereg_3nq9_bo_s20260804005_s008,3nq9,9.0,3.0,1000,1000,0,1.0,0.0,0.0,211974.8,177380.0,110.738,3.323962010129745,5.5359439,2098.0,26.0,3nq9_Kdist9.000_Kmono3.000,8,381,quality_3nq9,0.0,0.012
qpu,prereg_3nq9_bo_s20260804005_s008,4jsz,9.0,3.0,1000,1000,0,1.0,0.0,0.0,218257.2,183660.0,74.69,3.2760860718059646,4.347846499999999,2558.0,28.0,4jsz_Kdist9.000_Kmono3.000,8,381,quality_3nq9,0.0,0.012
qpu,prereg_3nq9_bo_s20260804005_s009,3nq9,8.5,14.0,1000,1000,0,1.0,0.0,0.0,203753.6,169160.0,107.046,3.769024886195616,5.7484197,1991.0,22.0,3nq9_Kdist8.500_Kmono14.000,9,371,quality_3nq9,0.0,0.012
qpu,prereg_3nq9_bo_s20260804005_s009,4jsz,8.5,14.0,1000,1000,11,1.0,0.011,0.011,212112.8,177520.0,59.327,1.8039636914306223,3.8717636999999994,2774.0,31.0,4jsz_Kdist8.500_Kmono14.000,9,371,quality_3nq9,0.0,0.012
qpu,prereg_3nq9_bo_s20260804005_s010,3nq9,3.5,3.0,1000,1000,1,1.0,0.001,0.001,202795.6,168200.0,60.657,1.989194187930411,3.1701922,2241.0,27.0,3nq9_Kdist3.500_Kmono3.000,10,150,quality_3nq9,0.001,0.012
qpu,prereg_3nq9_bo_s20260804005_s010,4jsz,3.5,3.0,1000,1000,0,1.0,0.0,0.0,210482.4,175880.0,191.691,2.5530368660479983,3.2043565,2368.0,25.0,4jsz_Kdist3.500_Kmono3.000,10,150,quality_3nq9,0.001,0.012
qpu,prereg_3nq9_bo_s20260804005_s011,3nq9,4.0,20.0,1000,453,58,0.453,0.1280353200883002,0.058,210877.6,176280.0,2.588,1.46202804350669,3.416616777041943,2106.0,25.0,3nq9_Kdist4.000_Kmono20.000,11,188,quality_3nq9,0.058,0.058
qpu,prereg_3nq9_bo_s20260804005_s011,4jsz,4.0,20.0,1000,1000,4,1.0,0.004,0.004,217830.4,183240.0,110.272,1.5915364532848355,4.4907254000000005,2481.0,26.0,4jsz_Kdist4.000_Kmono20.000,11,188,quality_3nq9,0.058,0.058
qpu,prereg_3nq9_bo_s20260804005_s012,3nq9,4.5,18.0,1000,1000,0,1.0,0.0,0.0,204941.6,170340.0,95.564,2.3992093489314357,4.669813899999999,2005.0,24.0,3nq9_Kdist4.500_Kmono18.000,12,207,quality_3nq9,0.0,0.058
