step,candidate_idx,kdist,kmono,objective_value,best_so_far,q_3nq9,q_4jsz,v_3nq9,v_4jsz,success_3nq9,success_4jsz,n_valid_3nq9,n_valid_4jsz,n_success_valid_3nq9,n_success_valid_4jsz,qpu_access_time_3nq9,qpu_access_time_4jsz,qpu_sampling_time_3nq9,qpu_sampling_time_4jsz,sample_elapsed_sec_3nq9,sample_elapsed_sec_4jsz
1,236,5.5,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209253.6,215520.0,174660.0,180920.0,58.503,80.411
2,131,3.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,214533.2,209830.8,179940.0,175240.0,75.879,115.242
3,116,2.5,11.0,0.039,0.039,0.0,0.039,1.0,0.991,0.0,0.039354187689202826,1000,991,0,39,211833.6,217829.6,177240.0,183240.0,62.84,146.014
4,207,4.5,18.0,0.003,0.039,0.0,0.003,1.0,0.487,0.0,0.006160164271047228,1000,487,0,3,202569.6,215012.0,167980.0,180420.0,87.304,140.936
5,393,9.0,15.0,0.0,0.039,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,215792.4,220389.6,181200.0,185800.0,73.767,77.773
6,101,2.0,17.0,0.0,0.039,0.0,0.0,0.996,0.993,0.0,0.0,996,993,0,0,203026.4,210117.2,168440.0,175520.0,129.321,115.674
7,431,10.0,11.0,0.0,0.039,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205968.4,211714.0,171380.0,177120.0,60.18,89.629
8,260,6.0,8.0,0.014,0.039,0.0,0.014,1.0,1.0,0.0,0.014,1000,1000,0,14,210694.0,204828.8,176100.0,170240.0,79.035,88.343
9,177,4.0,9.0,0.0,0.039,0.369,0.0,1.0,1.0,0.369,0.0,1000,1000,369,0,205790.8,219517.6,171200.0,184920.0,140.22,122.98
10,320,7.5,5.0,0.089,0.089,0.0,0.089,1.0,1.0,0.0,0.089,1000,1000,0,89,219252.8,208789.2,184660.0,174200.0,117.75,90.538
11,117,2.5,12.0,0.0,0.089,0.002,0.0,0.541,0.637,0.0036968576709796672,0.0,541,637,2,0,209979.2,210692.4,175380.0,176100.0,53.369,36.085
12,437,10.0,17.0,0.0,0.089,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,214794.8,210111.6,180200.0,175520.0,62.477,156.374
13,266,6.0,14.0,0.0,0.089,0.0,0.0,1.0,0.999,0.0,0.0,1000,999,0,0,204531.2,211897.2,169940.0,177300.0,62.233,49.019
14,23,0.5,2.0,0.0,0.089,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211518.0,215971.2,176920.0,181380.0,51.67,84.462
15,144,3.0,18.0,0.004,0.089,0.001,0.004,0.982,0.515,0.0010183299389002036,0.007766990291262136,982,515,1,4,202788.4,210251.2,168200.0,175660.0,124.363,101.762
16,197,4.5,8.0,0.0,0.089,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,203064.8,205971.6,168480.0,171380.0,41.023,100.134
17,61,1.0,19.0,0.0,0.089,0.006,0.0,0.015,0.423,0.4,0.0,15,423,6,0,211717.6,211658.0,177120.0,177060.0,74.302,87.061
18,74,1.5,11.0,0.0,0.089,0.0,0.0,1.0,0.921,0.0,0.0,1000,921,0,0,210570.4,212752.4,175980.0,178160.0,109.21,87.078
19,409,9.5,10.0,0.0,0.089,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,207894.8,213541.2,173300.0,178940.0,24.015,107.17
