mode,query_tag,ligand,kdist,kmono,n_reads,n_valid,n_success_valid,validity_rate,success_rate,quality,qpu_access_time,qpu_sampling_time,sample_elapsed_sec,mRMSD,avg_RMSD,physical_qubits,max_chain_length,raw_case_id,step,candidate_idx,objective,objective_value,best_so_far
qpu,prereg_4jsz_random_s20260804105_s001,3nq9,5.5,5.0,1000,1000,0,1.0,0.0,0.0,209253.6,174660.0,58.503,3.250605393822439,6.1321242,2242.0,26.0,3nq9_Kdist5.500_Kmono5.000,1,236,quality_4jsz,0.0,0.0
qpu,prereg_4jsz_random_s20260804105_s001,4jsz,5.5,5.0,1000,1000,0,1.0,0.0,0.0,215520.0,180920.0,80.411,2.4146178296579923,3.6678208999999997,2739.0,29.0,4jsz_Kdist5.500_Kmono5.000,1,236,quality_4jsz,0.0,0.0
qpu,prereg_4jsz_random_s20260804105_s002,3nq9,3.0,5.0,1000,1000,0,1.0,0.0,0.0,214533.2,179940.0,75.879,4.018613795834154,5.6805636999999995,2233.0,26.0,3nq9_Kdist3.000_Kmono5.000,2,131,quality_4jsz,0.0,0.0
qpu,prereg_4jsz_random_s20260804105_s002,4jsz,3.0,5.0,1000,1000,0,1.0,0.0,0.0,209830.8,175240.0,115.242,4.253553147358042,4.8275619,2331.0,24.0,4jsz_Kdist3.000_Kmono5.000,2,131,quality_4jsz,0.0,0.0
qpu,prereg_4jsz_random_s20260804105_s003,3nq9,2.5,11.0,1000,1000,0,1.0,0.0,0.0,211833.6,177240.0,62.84,4.199554288374497,9.6259694,2323.0,28.0,3nq9_Kdist2.500_Kmono11.000,3,116,quality_4jsz,0.039,0.039
qpu,prereg_4jsz_random_s20260804105_s003,4jsz,2.5,11.0,1000,991,39,0.991,0.039354187689202826,0.039,217829.6,183240.0,146.014,0.6225769028802792,3.7593929364278504,2478.0,27.0,4jsz_Kdist2.500_Kmono11.000,3,116,quality_4jsz,0.039,0.039
qpu,prereg_4jsz_random_s20260804105_s004,3nq9,4.5,18.0,1000,1000,0,1.0,0.0,0.0,202569.6,167980.0,87.304,2.999695654186208,4.020608,2203.0,26.0,3nq9_Kdist4.500_Kmono18.000,4,207,quality_4jsz,0.003,0.039
qpu,prereg_4jsz_random_s20260804105_s004,4jsz,4.5,18.0,1000,487,3,0.487,0.006160164271047228,0.003,215012.0,180420.0,140.936,1.8848962836188123,4.206874948665297,2415.0,26.0,4jsz_Kdist4.500_Kmono18.000,4,207,quality_4jsz,0.003,0.039
qpu,prereg_4jsz_random_s20260804105_s005,3nq9,9.0,15.0,1000,1000,0,1.0,0.0,0.0,215792.4,181200.0,73.767,4.629222282459455,6.950357500000001,2370.0,28.0,3nq9_Kdist9.000_Kmono15.000,5,393,quality_4jsz,0.0,0.039
qpu,prereg_4jsz_random_s20260804105_s005,4jsz,9.0,15.0,1000,1000,0,1.0,0.0,0.0,220389.6,185800.0,77.773,3.4627742410391353,4.1886822,2563.0,28.0,4jsz_Kdist9.000_Kmono15.000,5,393,quality_4jsz,0.0,0.039
qpu,prereg_4jsz_random_s20260804105_s006,3nq9,2.0,17.0,1000,996,0,0.996,0.0,0.0,203026.4,168440.0,129.321,2.1250750042017073,3.980246787148595,1996.0,23.0,3nq9_Kdist2.000_Kmono17.000,6,101,quality_4jsz,0.0,0.039
qpu,prereg_4jsz_random_s20260804105_s006,4jsz,2.0,17.0,1000,993,0,0.993,0.0,0.0,210117.2,175520.0,115.674,3.7592486283830704,4.177005035246728,2395.0,24.0,4jsz_Kdist2.000_Kmono17.000,6,101,quality_4jsz,0.0,0.039
qpu,prereg_4jsz_random_s20260804105_s007,3nq9,10.0,11.0,1000,1000,0,1.0,0.0,0.0,205968.4,171380.0,60.18,3.3818850965239666,4.6986919,2169.0,25.0,3nq9_Kdist10.000_Kmono11.000,7,431,quality_4jsz,0.0,0.039
qpu,prereg_4jsz_random_s20260804105_s007,4jsz,10.0,11.0,1000,1000,0,1.0,0.0,0.0,211714.0,177120.0,89.629,3.0842616603428272,4.0675135000000004,2421.0,27.0,4jsz_Kdist10.000_Kmono11.000,7,431,quality_4jsz,0.0,0.039
qpu,prereg_4jsz_random_s20260804105_s008,3nq9,6.0,8.0,1000,1000,0,1.0,0.0,0.0,210694.0,176100.0,79.035,4.338128152996726,5.2426354,2305.0,28.0,3nq9_Kdist6.000_Kmono8.000,8,260,quality_4jsz,0.014,0.039
qpu,prereg_4jsz_random_s20260804105_s008,4jsz,6.0,8.0,1000,1000,14,1.0,0.014,0.014,204828.8,170240.0,88.343,1.5851982551103887,4.0524175,2541.0,26.0,4jsz_Kdist6.000_Kmono8.000,8,260,quality_4jsz,0.014,0.039
qpu,prereg_4jsz_random_s20260804105_s009,3nq9,4.0,9.0,1000,1000,369,1.0,0.369,0.369,205790.8,171200.0,140.22,0.976807944896158,2.4154562,2063.0,22.0,3nq9_Kdist4.000_Kmono9.000,9,177,quality_4jsz,0.0,0.039
