mode,query_tag,ligand,kdist,kmono,n_reads,n_valid,n_success_valid,validity_rate,success_rate,quality,qpu_access_time,qpu_sampling_time,sample_elapsed_sec,mRMSD,avg_RMSD,physical_qubits,max_chain_length,raw_case_id,step,candidate_idx,objective,objective_value,best_so_far
qpu,prereg_4jsz_random_s20260804101_s001,3nq9,9.0,19.0,1000,1000,4,1.0,0.004,0.004,207152.8,172560.0,96.692,1.823596747163787,4.2061044,1924.0,22.0,3nq9_Kdist9.000_Kmono19.000,1,397,quality_4jsz,0.023,0.023
qpu,prereg_4jsz_random_s20260804101_s001,4jsz,9.0,19.0,1000,811,23,0.811,0.02836004932182491,0.023,219114.4,184520.0,55.548,0.6872401327047158,4.531884833538842,2701.0,29.0,4jsz_Kdist9.000_Kmono19.000,1,397,quality_4jsz,0.023,0.023
qpu,prereg_4jsz_random_s20260804101_s002,3nq9,7.5,1.0,1000,1000,1,1.0,0.001,0.001,217584.4,182980.0,89.868,1.9417777970542935,4.6923175,2200.0,26.0,3nq9_Kdist7.500_Kmono1.000,2,316,quality_4jsz,0.0,0.023
qpu,prereg_4jsz_random_s20260804101_s002,4jsz,7.5,1.0,1000,1000,0,1.0,0.0,0.0,207973.6,173380.0,141.479,2.8644623103780757,3.9651305000000003,2324.0,25.0,4jsz_Kdist7.500_Kmono1.000,2,316,quality_4jsz,0.0,0.023
qpu,prereg_4jsz_random_s20260804101_s003,3nq9,4.5,11.0,1000,1000,0,1.0,0.0,0.0,210114.8,175520.0,115.979,2.9762786466630207,5.605795900000001,1980.0,23.0,3nq9_Kdist4.500_Kmono11.000,3,200,quality_4jsz,0.0,0.023
qpu,prereg_4jsz_random_s20260804101_s003,4jsz,4.5,11.0,1000,1000,0,1.0,0.0,0.0,214514.4,179920.0,141.119,3.2818497879917126,4.2232091,2309.0,25.0,4jsz_Kdist4.500_Kmono11.000,3,200,quality_4jsz,0.0,0.023
qpu,prereg_4jsz_random_s20260804101_s004,3nq9,2.0,20.0,1000,998,0,0.998,0.0,0.0,207982.4,173380.0,78.432,2.3715686791657546,7.390596192384772,2174.0,25.0,3nq9_Kdist2.000_Kmono20.000,4,104,quality_4jsz,0.0,0.023
qpu,prereg_4jsz_random_s20260804101_s004,4jsz,2.0,20.0,1000,89,0,0.089,0.0,0.0,212794.4,178200.0,93.993,3.299192325403295,5.435525842696631,2614.0,28.0,4jsz_Kdist2.000_Kmono20.000,4,104,quality_4jsz,0.0,0.023
qpu,prereg_4jsz_random_s20260804101_s005,3nq9,6.0,1.0,1000,1000,0,1.0,0.0,0.0,207198.8,172600.0,106.28,3.146354488106099,3.8471669999999993,1962.0,23.0,3nq9_Kdist6.000_Kmono1.000,5,253,quality_4jsz,0.0,0.023
qpu,prereg_4jsz_random_s20260804101_s005,4jsz,6.0,1.0,1000,1000,0,1.0,0.0,0.0,213258.4,178660.0,133.247,2.033150357117389,3.2872436,2385.0,25.0,4jsz_Kdist6.000_Kmono1.000,5,253,quality_4jsz,0.0,0.023
qpu,prereg_4jsz_random_s20260804101_s006,3nq9,0.1,6.0,1000,994,27,0.994,0.02716297786720322,0.027,214750.4,180160.0,40.025,1.0478431418871814,3.8285806841046277,2412.0,30.0,3nq9_Kdist0.100_Kmono6.000,6,6,quality_4jsz,0.0,0.023
qpu,prereg_4jsz_random_s20260804101_s006,4jsz,0.1,6.0,1000,630,0,0.63,0.0,0.0,206108.4,171520.0,75.398,2.137354673422264,4.027506190476191,2608.0,30.0,4jsz_Kdist0.100_Kmono6.000,6,6,quality_4jsz,0.0,0.023
