step,candidate_idx,kdist,kmono,objective_value,best_so_far,q_3nq9,q_4jsz,v_3nq9,v_4jsz,success_3nq9,success_4jsz,n_valid_3nq9,n_valid_4jsz,n_success_valid_3nq9,n_success_valid_4jsz,qpu_access_time_3nq9,qpu_access_time_4jsz,qpu_sampling_time_3nq9,qpu_sampling_time_4jsz,sample_elapsed_sec_3nq9,sample_elapsed_sec_4jsz
1,397,9.0,19.0,0.023,0.023,0.004,0.023,1.0,0.811,0.004,0.02836004932182491,1000,811,4,23,207152.8,219114.4,172560.0,184520.0,96.692,55.548
2,316,7.5,1.0,0.0,0.023,0.001,0.0,1.0,1.0,0.001,0.0,1000,1000,1,0,217584.4,207973.6,182980.0,173380.0,89.868,141.479
3,200,4.5,11.0,0.0,0.023,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,210114.8,214514.4,175520.0,179920.0,115.979,141.119
4,104,2.0,20.0,0.0,0.023,0.0,0.0,0.998,0.089,0.0,0.0,998,89,0,0,207982.4,212794.4,173380.0,178200.0,78.432,93.993
5,253,6.0,1.0,0.0,0.023,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,207198.8,213258.4,172600.0,178660.0,106.28,133.247
6,6,0.1,6.0,0.0,0.023,0.027,0.0,0.994,0.63,0.02716297786720322,0.0,994,630,27,0,214750.4,206108.4,180160.0,171520.0,40.025,75.398
7,438,10.0,18.0,0.007,0.023,0.057,0.007,0.973,0.905,0.05858170606372045,0.0077348066298342545,973,905,57,7,212013.2,214152.0,177420.0,179560.0,36.15,55.386
8,336,8.0,0.1,0.0,0.023,0.714,0.0,1.0,1.0,0.714,0.0,1000,1000,714,0,208700.0,211010.8,174100.0,176420.0,68.045,86.823
9,296,7.0,2.0,0.0,0.023,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,218119.6,207261.6,183520.0,172660.0,110.336,59.6
10,331,7.5,16.0,0.0,0.023,0.001,0.0,1.0,1.0,0.001,0.0,1000,1000,1,0,209441.2,211256.0,174840.0,176660.0,106.088,127.031
11,392,9.0,14.0,0.005,0.023,0.0,0.005,1.0,0.994,0.0,0.005030181086519115,1000,994,0,5,208657.6,211658.0,174060.0,177060.0,82.238,182.088
12,142,3.0,16.0,0.008,0.023,0.001,0.008,0.977,0.409,0.0010235414534288639,0.019559902200488997,977,409,1,8,203893.6,214838.4,169300.0,180240.0,64.899,179.068
13,391,9.0,13.0,0.0,0.023,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208652.8,211155.2,174060.0,176560.0,78.681,128.331
14,69,1.5,6.0,0.0,0.023,0.02,0.0,1.0,1.0,0.02,0.0,1000,1000,20,0,209472.8,219517.6,174880.0,184920.0,77.582,41.981
15,373,8.5,16.0,0.005,0.023,0.028,0.005,1.0,0.864,0.028,0.005787037037037037,1000,864,28,5,207470.4,214936.0,172880.0,180340.0,136.534,71.896
16,302,7.0,8.0,0.002,0.023,0.0,0.002,1.0,1.0,0.0,0.002,1000,1000,0,2,208755.6,210796.4,174160.0,176200.0,109.965,101.948
17,419,9.5,20.0,0.0,0.023,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209338.0,214934.4,174740.0,180340.0,63.382,74.897
18,29,0.5,8.0,0.0,0.023,0.0,0.0,0.999,0.465,0.0,0.0,999,465,0,0,212197.6,216836.4,177600.0,182240.0,99.449,94.862
19,50,1.0,8.0,0.125,0.125,0.085,0.125,0.94,0.2,0.09042553191489362,0.625,940,200,85,125,207580.4,214204.0,172980.0,179600.0,52.079,62.898
20,220,5.0,10.0,0.302,0.302,0.0,0.302,1.0,1.0,0.0,0.302,1000,1000,0,302,207618.4,211518.4,173020.0,176920.0,111.095,128.679
21,28,0.5,7.0,0.0,0.302,0.0,0.0,0.726,1.0,0.0,0.0,726,1000,0,0,203078.4,214440.0,168480.0,179840.0,71.262,53.971
22,230,5.0,20.0,0.005,0.302,0.019,0.005,0.976,0.041,0.0194672131147541,0.12195121951219512,976,41,19,5,208196.8,212376.8,173600.0,177780.0,47.17,51.123
23,371,8.5,14.0,0.0,0.302,0.001,0.0,1.0,0.996,0.001,0.0,1000,996,1,0,201293.2,216291.6,166700.0,181700.0,107.054,102.257
24,161,3.5,14.0,0.0,0.302,0.003,0.0,1.0,1.0,0.003,0.0,1000,1000,3,0,215301.2,209762.4,180700.0,175160.0,79.089,134.74
25,5,0.1,5.0,0.0,0.302,0.267,0.0,1.0,1.0,0.267,0.0,1000,1000,267,0,207296.0,212516.8,172700.0,177920.0,123.076,106.871
26,213,5.0,3.0,0.0,0.302,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211400.0,216075.6,176800.0,181480.0,72.64,73.727
27,150,3.5,3.0,0.0,0.302,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211895.6,211612.8,177300.0,177020.0,135.194,36.434
28,295,7.0,1.0,0.0,0.302,0.001,0.0,1.0,1.0,0.001,0.0,1000,1000,1,0,202255.2,217617.2,167660.0,183020.0,52.292,72.949
29,270,6.0,18.0,0.002,0.302,0.0,0.002,1.0,0.959,0.0,0.0020855057351407717,1000,959,0,2,211714.8,218213.2,177120.0,183620.0,110.509,69.988
30,394,9.0,16.0,0.0,0.302,0.008,0.0,1.0,1.0,0.008,0.0,1000,1000,8,0,213528.4,239496.8,178940.0,180840.0,83.926,65.808
31,314,7.0,20.0,0.002,0.302,0.002,0.002,0.998,0.577,0.002004008016032064,0.0034662045060658577,998,577,2,2,205074.0,236213.2,170480.0,177560.0,88.055,87.239
32,412,9.5,13.0,0.0,0.302,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,215508.8,214658.0,180920.0,180060.0,56.801,126.073
33,355,8.0,19.0,0.005,0.302,0.0,0.005,1.0,0.953,0.0,0.005246589716684155,1000,953,0,5,204187.6,212892.4,169600.0,178300.0,62.984,66.85
34,189,4.5,0.1,0.0,0.302,0.352,0.0,1.0,1.0,0.352,0.0,1000,1000,352,0,215200.0,216300.8,180600.0,181700.0,94.073,64.676
35,323,7.5,8.0,0.0,0.302,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208389.2,210716.0,173800.0,176120.0,2.321,96.121
36,197,4.5,8.0,0.0,0.302,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,213969.6,211214.4,179380.0,176620.0,167.143,91.611
37,127,3.0,1.0,0.0,0.302,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,213891.6,212471.6,179300.0,177880.0,45.065,49.12
38,89,2.0,5.0,0.0,0.302,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,202294.4,217713.6,167700.0,183120.0,86.182,79.024
39,343,8.0,7.0,0.0,0.302,0.052,0.0,1.0,1.0,0.052,0.0,1000,1000,52,0,206332.8,208476.0,171740.0,173880.0,96.865,80.907
40,62,1.0,20.0,0.005,0.302,0.002,0.005,0.881,0.113,0.0022701475595913734,0.04424778761061947,881,113,2,5,218068.4,208653.2,183480.0,174060.0,109.371,115.169
41,367,8.5,10.0,0.0,0.302,0.002,0.0,0.996,1.0,0.002008032128514056,0.0,996,1000,2,0,205074.4,207111.2,170480.0,172520.0,76.051,83.268
