ligand,success_rate,validity_rate,strict_success_rate,feasible_rate,mRMSD,avg_RMSD,n_poses,tts_99_success_sec,tts_99_strict_sec,t_run_sec,qpu_access_sec,run_time_sec,charge_time_sec,eval_elapsed_sec,n_samples,unique_samples,unique_sample_ratio,avg_selected_vars,energy_min,energy_avg,num_vars,mono_constraints,dist_constraints,time_limit_sec,Kdist,Kmono,edge_cutoff,grid_length,runs
3nq9,0.020833333333333332,0.9985714285714286,0.020803571428571428,1.0,1.3311,4.688020555555555,144.0,15.194644487156797,15.216739618460139,0.0694652,0.0694652,30.235541599999998,30.0,0.0094,139.2,104.6,0.7523571623571623,7.9052730002730005,-4.0,-3.9526365001365003,130.0,0.0,0.0,30.0,1.5,18.0,1.8700000000000003,1.0,5
4jsz,0.0,1.0,0.0,1.0,2.3264199999999997,2.4295482119205287,151.0,,,0.0625126,0.0625126,30.2537118,30.0,0.009600000000000001,144.2,10.8,0.07508620965277671,9.929299784786966,-4.97,-4.870704634570577,144.0,0.0,0.0,30.0,1.5,18.0,1.8700000000000003,1.0,5
