ligand,success_rate,validity_rate,strict_success_rate,mRMSD,avg_RMSD,n_poses,tts_99_success_sec,tts_99_strict_sec,t_run_sec,qpu_access_sec,qpu_sampling_sec,run_time_sec,charge_time_sec,sample_sec,load_sec,sample_cpu_sec,io_sec,sample_elapsed_sec,cpu_sec,eval_elapsed_sec,qubits,estimated_terms,n_samples,physical_qubits,max_chain_length,time_limit_sec,num_reads,n_pos,runs
3nq9,0.0,1.0,0.0,5.267293525797234,5.2673000000000005,1.0,,,1.9298735999999999,1.9298735999999999,29.996053999999997,29.996053999999997,29.996053999999997,3.4344,0.0038,0.11699999999999999,0.0028,35.8032,0.2142,0.173,130.0,8385.0,1.0,,,30.0,30.0,30.0,5
4jsz,0.0,1.0,0.0,2.450133383364352,2.45014,1.0,,,1.9257003999999998,1.9257003999999998,29.9942364,29.9942364,29.9942364,3.4503999999999997,0.0038,0.11579999999999999,0.0024000000000000002,36.0792,0.2166,0.0021999999999999997,144.0,10296.0,1.0,,,30.0,30.0,30.0,5
