ligand,N_logical,physical_qubits,max_chain_length,L_bar_mean_chain,cs0_sqrt_Lbar,Kdist_star,Kmono_star,Qmax_abs,solver,graph_id,embedding_sha256,qubo_sha256
3nq9,130,2264,28,17.4154,4.1732,7.5,19.0,38.0,Advantage2_system1.13,01e1ea5685,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
4jsz,144,2522,26,17.5139,4.185,0.5,1.0,2.0,Advantage2_system1.13,01e1ea5685,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
