ligand,n_repeats,quality_mean,quality_std,quality_min,quality_max,tts_0p99_mean_sec,tts_0p99_std_sec,tts_0p99_min_sec,tts_0p99_max_sec
3nq9,10,0.9436,0.008085652588244027,0.93,0.953,0.0015829141093728558,7.871353393857866e-05,0.00148995919000801,0.0017131497465156461
4jsz,10,0.9841000000000001,0.00486369772452561,0.974,0.991,0.00109809152553005,8.014997683447099e-05,0.0009703496182511,0.0012524079626412
