step,candidate_idx,kdist,kmono,objective_value,best_so_far,q_3nq9,q_4jsz,v_3nq9,v_4jsz,success_3nq9,success_4jsz,n_valid_3nq9,n_valid_4jsz,n_success_valid_3nq9,n_success_valid_4jsz,qpu_access_time_3nq9,qpu_access_time_4jsz,qpu_sampling_time_3nq9,qpu_sampling_time_4jsz,sample_elapsed_sec_3nq9,sample_elapsed_sec_4jsz
37,127,3.0,1.0,0.0,0.382,0.0,0.011,1.0,1.0,0.0,0.011,1000,1000,0,11,203792.4,218252.0,169200.0,183660.0,54.28,90.434
38,89,2.0,5.0,0.213,0.382,0.213,0.0,1.0,1.0,0.213,0.0,1000,1000,213,0,207209.6,239999.6,172620.0,181340.0,122.154,110.574
39,343,8.0,7.0,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,215431.6,217831.6,180840.0,183240.0,54.082,45.313
40,62,1.0,20.0,0.0,0.382,0.0,0.0,0.844,0.025,0.0,0.0,844,25,0,0,210751.2,211430.8,176160.0,176840.0,73.849,79.785
41,367,8.5,10.0,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,206655.2,216694.8,172060.0,182100.0,82.486,104.984
42,348,8.0,12.0,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,210076.0,214833.2,175480.0,180240.0,58.208,86.017
43,93,2.0,9.0,0.0,0.382,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,208974.8,209753.2,174380.0,175160.0,142.32,104.73
44,338,8.0,2.0,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,212116.0,211256.0,177520.0,176660.0,76.896,106.483
45,238,5.5,7.0,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,213156.4,212613.6,178560.0,178020.0,74.941,53.783
46,353,8.0,17.0,0.011,0.382,0.011,0.119,0.997,0.163,0.011033099297893681,0.7300613496932515,997,163,11,119,208332.8,212110.8,173740.0,177520.0,67.601,56.294
47,212,5.0,2.0,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,212394.4,214433.2,177800.0,179840.0,56.636,86.046
48,345,8.0,9.0,0.0,0.382,0.0,0.003,1.0,1.0,0.0,0.003,1000,1000,0,3,210023.2,219753.6,175420.0,185160.0,55.974,70.747
49,433,10.0,13.0,0.0,0.382,0.0,0.007,1.0,0.113,0.0,0.061946902654867256,1000,113,0,7,210753.6,217756.8,176160.0,183160.0,28.805,32.129
50,413,9.5,14.0,0.0,0.382,0.0,0.034,1.0,1.0,0.0,0.034,1000,1000,0,34,219250.4,212154.4,184660.0,177560.0,90.559,130.095
51,166,3.5,19.0,0.022,0.382,0.022,0.0,0.505,1.0,0.04356435643564356,0.0,505,1000,22,0,203513.6,211578.4,168920.0,176980.0,52.917,148.499
52,24,0.5,3.0,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209612.0,211895.6,175020.0,177300.0,136.786,89.756
53,378,9.0,0.1,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208508.4,212758.0,173920.0,178160.0,102.641,68.153
54,121,2.5,16.0,0.0,0.382,0.0,0.0,0.991,0.92,0.0,0.0,991,920,0,0,199114.0,214889.2,164520.0,180300.0,85.134,114.059
55,101,2.0,17.0,0.045,0.382,0.045,0.0,0.122,0.004,0.36885245901639346,0.0,122,4,45,0,211251.6,218470.8,176660.0,183880.0,81.729,50.388
56,71,1.5,8.0,0.0,0.382,0.0,0.0,0.995,1.0,0.0,0.0,995,1000,0,0,204373.2,210014.0,169780.0,175420.0,59.476,57.611
57,281,6.5,8.0,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208254.8,210898.4,173660.0,176300.0,73.182,129.265
58,210,5.0,0.1,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,212518.0,213020.4,177920.0,178420.0,86.837,89.386
59,55,1.0,13.0,0.0,0.382,0.0,0.075,0.947,0.987,0.0,0.07598784194528875,947,987,0,75,212255.2,214438.8,177660.0,179840.0,38.511,129.36
60,4,0.1,4.0,0.0,0.382,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,215158.0,205829.2,180560.0,171240.0,48.439,116.107
61,264,6.0,12.0,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,204712.4,215536.0,170120.0,180940.0,61.959,121.254
62,147,3.5,0.1,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,206392.8,211019.6,171800.0,176420.0,93.976,71.545
63,298,7.0,4.0,0.7,0.7,0.7,0.0,1.0,0.747,0.7,0.0,1000,747,700,0,214842.4,216342.0,180240.0,181740.0,57.603,73.791
64,186,4.0,18.0,0.004,0.7,0.004,0.007,0.997,0.998,0.004012036108324975,0.0070140280561122245,997,998,4,7,216074.8,212196.4,181480.0,177600.0,92.605,77.937
65,370,8.5,13.0,0.003,0.7,0.003,0.0,1.0,1.0,0.003,0.0,1000,1000,3,0,210220.8,218894.8,175620.0,184300.0,37.611,76.39
66,390,9.0,12.0,0.0,0.7,0.0,0.028,1.0,1.0,0.0,0.028,1000,1000,0,28,209392.8,218711.2,174800.0,184120.0,115.78,58.081
67,196,4.5,7.0,0.0,0.7,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205936.0,216338.8,171340.0,181740.0,67.383,89.126
