ligand,chain_strength,n_repeats,quality_mean,quality_min,quality_max,tts_0p99_mean_sec,tts_0p99_min_sec,tts_0p99_max_sec,chain_break_fraction_mean,chain_break_fraction_min,chain_break_fraction_max
3nq9,0.5,10,0.7156999999999999,0.686,0.75,0.0007673797343593677,0.0006951480019073673,0.0008319329461516542,0.9025499999999852,0.9019769230769081,0.9033615384615237
3nq9,0.75,10,0.8631,0.828,0.902,0.00048459875057846856,0.00041487987537673724,0.0005474631440594447,0.8955238461538302,0.8951461538461378,0.8959615384615226
3nq9,1.0,10,0.8785000000000001,0.862,0.889,0.00045716103333452127,0.00043838909987388593,0.0004865827506145662,0.890239230769214,0.8897538461538291,0.8905769230769062
3nq9,1.25,10,0.7687999999999999,0.735,0.787,0.0006585152169441754,0.0006231412895481128,0.0007256374615933746,0.8854761538461364,0.8849538461538289,0.8858153846153672
3nq9,1.5,10,0.6698999999999999,0.646,0.686,0.0008698767504915463,0.0008319249949774603,0.0009279818782723226,0.8798807692307534,0.8795076923076768,0.8804615384615225
3nq9,2.0,10,0.6406,0.619,0.669,0.0009427669583096807,0.0008716059965489012,0.0009986775057156548,0.8612046153846086,0.8605384615384546,0.8617846153846085
3nq9,2.5,10,0.6954,0.657,0.73,0.0008119761463924317,0.0007360135946683088,0.0009006212704657837,0.8487238461538386,0.8478076923076845,0.849461538461531
3nq9,3.0,10,0.44029999999999997,0.396,0.453,0.001664271652920473,0.001597296780126704,0.0019113360827370581,0.8401530769230681,0.8390615384615295,0.8409307692307605
3nq9,3.5,10,0.13579999999999998,0.108,0.157,0.0066897167038854465,0.005642506603803314,0.008431896285173225,0.8271992307692203,0.8263923076922971,0.8279384615384511
3nq9,4.0,10,0.010799999999999999,0.003,0.015,0.10834834302677825,0.06376299470109614,0.3207481825102237,0.8198376923076809,0.8191461538461423,0.8204692307692193
3nq9,4.5,10,0.0011,0.0,0.002,0.7825168252599428,0.4813633976184422,0.9632088818448431,0.8036338461538355,0.8025999999999892,0.8047076923076814
3nq9,5.0,10,0.001,0.0,0.004,0.7624180491974281,0.24043364069039722,0.9631812646415415,0.7872438461538336,0.7865384615384489,0.787961538461526
3nq9,5.5,10,0.0066,0.003,0.012,0.1770380492078094,0.07982429463026904,0.32074634320663503,0.7778038461538326,0.7764769230769093,0.7787076923076787
3nq9,6.0,10,0.0066,0.003,0.012,0.17382510041458993,0.07982398946469778,0.3207451170042426,0.7785169230769102,0.7761769230769098,0.7816230769230644
3nq9,7.0,10,0.0009000000000000001,0.0,0.002,0.9029626621580268,0.4813551166041796,0.9631923115228621,0.7848053846153711,0.7845615384615251,0.7850461538461403
3nq9,8.0,10,0.0004,0.0,0.002,0.8025722425391857,0.4813505160407004,0.9631831057884283,0.7659061538461387,0.7647230769230616,0.766576923076908
4jsz,0.5,10,0.7763,0.75,0.805,0.0006539236358130698,0.0005987198908608299,0.0007060266520325046,0.6831388888888887,0.6821597222222212,0.6841458333333336
4jsz,0.75,10,0.9469000000000001,0.908,0.99,0.00032960822545347794,0.000212552,0.0004102480275936338,0.6318972222222318,0.6312847222222313,0.6326458333333423
4jsz,1.0,10,0.8838999999999999,0.852,0.899,0.0004545012819767929,0.0004269490062420998,0.0005123350433352011,0.5678222222222271,0.5673472222222277,0.5685694444444489
4jsz,1.25,10,0.0046,0.0,0.026,0.3555091612649293,0.03715591275112319,0.9783449504010251,0.46955416666666644,0.4645972222222219,0.4863680555555561
4jsz,1.5,10,0.0,0.0,0.0,,,,0.4028895833333327,0.40192361111111025,0.4043263888888889
4jsz,2.0,10,0.022999999999999996,0.015,0.029,0.04418250342725362,0.03326165770451145,0.06476607684735439,0.29507222222222185,0.2937499999999998,0.2972013888888884
4jsz,2.5,10,0.028000000000000004,0.014,0.038,0.03744311399769673,0.02526684220909675,0.06942787760065698,0.22138749999999927,0.22039583333333268,0.22277777777777724
4jsz,3.0,10,0.046299999999999994,0.034,0.059,0.02133893013915166,0.016096188512462667,0.028297275991087285,0.17242638888888964,0.17106944444444536,0.17359027777777866
4jsz,3.5,10,0.0766,0.068,0.087,0.012384320401777225,0.010753988403613317,0.013899280074007297,0.13742986111111,0.13609027777777666,0.13929861111110997
4jsz,4.0,10,0.1121,0.085,0.14,0.008396653060756999,0.006489922880766309,0.011018974999762616,0.10729027777777836,0.10559027777777842,0.10860416666666724
4jsz,4.5,10,0.1123,0.095,0.126,0.008279557137653402,0.007268196489456982,0.00980605461611593,0.07859374999999995,0.07724999999999997,0.08061111111111126
4jsz,5.0,10,0.09109999999999999,0.079,0.107,0.010326087597276597,0.00864938796527032,0.011894247383039683,0.05490416666666659,0.05218749999999991,0.057763888888888795
4jsz,5.5,10,0.09209999999999999,0.071,0.109,0.01030530804593834,0.00848141514332764,0.013291151783581848,0.03763888888888898,0.03480555555555566,0.039729166666666794
4jsz,6.0,10,0.0802,0.058,0.095,0.011985449894727256,0.009805943893101273,0.01638213447685246,0.027311111111111196,0.026312500000000075,0.028291666666666746
4jsz,7.0,10,0.054599999999999996,0.04,0.066,0.017983870493081255,0.014335730808617535,0.023977933769943977,0.013166666666666771,0.012298611111111237,0.014256944444444563
4jsz,8.0,10,0.038299999999999994,0.028,0.052,0.02622514110872761,0.018329656057723753,0.03446605569675164,0.0066090277777778135,0.005993055555555584,0.007229166666666706
