step,candidate_idx,kdist,kmono,objective_value,best_so_far,q_3nq9,q_4jsz,v_3nq9,v_4jsz,success_3nq9,success_4jsz,n_valid_3nq9,n_valid_4jsz,n_success_valid_3nq9,n_success_valid_4jsz,qpu_access_time_3nq9,qpu_access_time_4jsz,qpu_sampling_time_3nq9,qpu_sampling_time_4jsz,sample_elapsed_sec_3nq9,sample_elapsed_sec_4jsz
1,103,2.0,19.0,0.0,0.0,0.0,0.044,0.489,0.496,0.0,0.08870967741935484,489,496,0,44,212583.6,217628.4,177980.0,183020.0,42.121,62.378
2,195,4.5,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211696.8,210211.2,177100.0,175620.0,141.309,71.407
3,402,9.5,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,207483.6,203157.2,172880.0,168560.0,74.451,142.991
4,318,7.5,3.0,0.0,0.0,0.0,0.257,1.0,1.0,0.0,0.257,1000,1000,0,257,202257.6,219660.8,167660.0,185060.0,77.239,127.075
5,380,9.0,2.0,0.0,0.0,0.0,0.445,1.0,1.0,0.0,0.445,1000,1000,0,445,204934.0,212522.0,170340.0,177920.0,94.823,93.124
6,343,8.0,7.0,0.574,0.574,0.574,0.01,1.0,0.995,0.574,0.010050251256281407,1000,995,574,10,209396.8,209438.0,174800.0,174840.0,80.676,56.758
7,43,1.0,1.0,0.0,0.574,0.0,0.002,1.0,1.0,0.0,0.002,1000,1000,0,2,210095.6,214811.6,175480.0,180200.0,81.648,77.213
8,186,4.0,18.0,0.0,0.574,0.0,0.076,1.0,0.295,0.0,0.2576271186440678,1000,295,0,76,209474.8,215720.8,174880.0,181120.0,138.488,70.669
9,223,5.0,13.0,0.105,0.574,0.105,0.096,0.887,0.661,0.11837655016910936,0.14523449319213314,887,661,105,96,216700.0,212215.2,182100.0,177620.0,51.888,45.173
10,433,10.0,13.0,0.0,0.574,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209614.4,217613.2,175020.0,183020.0,154.397,53.687
11,119,2.5,14.0,0.0,0.574,0.0,0.403,1.0,0.844,0.0,0.4774881516587678,1000,844,0,403,206896.4,211213.6,172300.0,176620.0,130.283,59.576
12,70,1.5,7.0,0.0,0.574,0.0,0.062,1.0,1.0,0.0,0.062,1000,1000,0,62,208843.2,218878.0,174240.0,184280.0,66.14,155.766
13,166,3.5,19.0,0.002,0.574,0.002,0.033,0.402,0.156,0.004975124378109453,0.21153846153846154,402,156,2,33,209523.6,210755.6,174920.0,176160.0,52.021,120.356
14,323,7.5,8.0,0.0,0.574,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208475.2,215478.8,173880.0,180880.0,166.609,106.164
15,335,7.5,20.0,0.003,0.574,0.003,0.01,1.0,0.961,0.003,0.01040582726326743,1000,961,3,10,216336.0,215653.2,181740.0,181060.0,160.921,86.842
16,96,2.0,12.0,0.0,0.574,0.0,0.162,1.0,1.0,0.0,0.162,1000,1000,0,162,211720.0,211795.6,177120.0,177200.0,91.289,99.02
17,360,8.5,3.0,0.0,0.574,0.0,0.003,1.0,1.0,0.0,0.003,1000,1000,0,3,205433.6,203657.2,170840.0,169060.0,81.025,102.677
18,141,3.0,15.0,0.0,0.574,0.0,0.384,1.0,0.867,0.0,0.4429065743944637,1000,867,0,384,212761.6,207936.0,178160.0,173340.0,118.196,51.699
19,425,10.0,5.0,0.048,0.574,0.048,0.001,1.0,1.0,0.048,0.001,1000,1000,48,1,207330.4,213017.6,172740.0,178420.0,223.069,84.13
