mode,query_tag,ligand,kdist,kmono,n_reads,n_valid,n_success_valid,validity_rate,success_rate,quality,qpu_access_time,qpu_sampling_time,sample_elapsed_sec,mRMSD,avg_RMSD,physical_qubits,max_chain_length,raw_case_id,step,candidate_idx,objective,objective_value,best_so_far
qpu,prereg_3nq9_bo_s20260804001_s001,3nq9,7.5,6.0,1000,1000,0,1.0,0.0,0.0,204532.4,169940.0,105.321,5.802876455754283,6.6048936,2034.0,25.0,3nq9_Kdist7.500_Kmono6.000,1,321,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_bo_s20260804001_s001,4jsz,7.5,6.0,1000,1000,0,1.0,0.0,0.0,214300.4,179700.0,71.478,2.726302129638383,3.0757457999999995,2832.0,31.0,4jsz_Kdist7.500_Kmono6.000,1,321,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_bo_s20260804001_s002,3nq9,9.0,14.0,1000,1000,1,1.0,0.001,0.001,202294.4,167700.0,119.882,1.9486668135960943,3.9220070999999996,1908.0,23.0,3nq9_Kdist9.000_Kmono14.000,2,392,quality_3nq9,0.001,0.001
qpu,prereg_3nq9_bo_s20260804001_s002,4jsz,9.0,14.0,1000,1000,0,1.0,0.0,0.0,215291.6,180700.0,126.703,2.8918953330854857,4.3013866,2320.0,25.0,4jsz_Kdist9.000_Kmono14.000,2,392,quality_3nq9,0.001,0.001
qpu,prereg_3nq9_bo_s20260804001_s003,3nq9,4.0,0.1,1000,1000,0,1.0,0.0,0.0,215473.2,180880.0,55.095,3.1561697316064126,4.912018600000001,2225.0,26.0,3nq9_Kdist4.000_Kmono0.100,3,168,quality_3nq9,0.0,0.001
qpu,prereg_3nq9_bo_s20260804001_s003,4jsz,4.0,0.1,1000,1000,0,1.0,0.0,0.0,216615.6,182020.0,75.305,2.2564764619163085,2.8937056,2753.0,31.0,4jsz_Kdist4.000_Kmono0.100,3,168,quality_3nq9,0.0,0.001
qpu,prereg_3nq9_bo_s20260804001_s004,3nq9,9.0,13.0,1000,1000,0,1.0,0.0,0.0,216293.6,181700.0,75.083,3.840393901928989,6.243215599999999,2178.0,25.0,3nq9_Kdist9.000_Kmono13.000,4,391,quality_3nq9,0.0,0.001
qpu,prereg_3nq9_bo_s20260804001_s004,4jsz,9.0,13.0,1000,1000,3,1.0,0.003,0.003,219756.0,185160.0,89.25,1.6961043089375794,3.3861925,2521.0,25.0,4jsz_Kdist9.000_Kmono13.000,4,391,quality_3nq9,0.0,0.001
qpu,prereg_3nq9_bo_s20260804001_s005,3nq9,6.5,14.0,1000,1000,0,1.0,0.0,0.0,215691.6,181100.0,106.789,2.8473601024402266,5.1497727,2053.0,23.0,3nq9_Kdist6.500_Kmono14.000,5,287,quality_3nq9,0.0,0.001
qpu,prereg_3nq9_bo_s20260804001_s005,4jsz,6.5,14.0,1000,1000,0,1.0,0.0,0.0,211656.0,177060.0,132.465,2.2405944748332307,2.9449232000000003,2421.0,27.0,4jsz_Kdist6.500_Kmono14.000,5,287,quality_3nq9,0.0,0.001
