ligand,case_name,run_tag,Kdist,Kmono,status,mRMSD,n_poses,n_reads,n_valid,n_success_valid,quality,validity_rate,success_rate,qpu_access_sec,qpu_sampling_sec,solver,physical_qubits,max_chain_length,report_csv,samples_json,result_json
3nq9,3nq9_Kdist0.5_Kmono1.0,psweep113_r4_20260328_171213,0.5,1.0,ok,3.8117587932345973,1000,1000,1000,0,0.0,1.0,0.0,0.211124,0.17652,Advantage2_system1.13,2215,27,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono1.0/psweep113_r4_20260328_171213/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono1.0/psweep113_r4_20260328_171213/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono1.0/psweep113_r4_20260328_171213/result.json
3nq9,3nq9_Kdist0.5_Kmono2.0,psweep113_r4_20260328_171213,0.5,2.0,ok,0.9646203460057753,1000,1000,1000,124,0.124,1.0,0.124,0.21226720000000002,0.17766,Advantage2_system1.13,2087,25,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono2.0/psweep113_r4_20260328_171213/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono2.0/psweep113_r4_20260328_171213/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono2.0/psweep113_r4_20260328_171213/result.json
3nq9,3nq9_Kdist0.5_Kmono3.0,psweep113_r4_20260328_171213,0.5,3.0,ok,1.2309278603601501,1000,1000,1000,10,0.01,1.0,0.01,0.204714,0.1701,Advantage2_system1.13,2039,24,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono3.0/psweep113_r4_20260328_171213/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono3.0/psweep113_r4_20260328_171213/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono3.0/psweep113_r4_20260328_171213/result.json
3nq9,3nq9_Kdist0.5_Kmono4.0,psweep113_r4_20260328_171213,0.5,4.0,ok,1.0861844779709693,1000,1000,1000,28,0.028,1.0,0.028,0.2059876,0.17138,Advantage2_system1.13,2260,28,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono4.0/psweep113_r4_20260328_171213/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono4.0/psweep113_r4_20260328_171213/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono4.0/psweep113_r4_20260328_171213/result.json
3nq9,3nq9_Kdist0.5_Kmono5.0,psweep113_r4_20260328_171213,0.5,5.0,ok,1.4942494426860107,1000,1000,1000,7,0.007,1.0,0.007,0.21302279999999998,0.17842,Advantage2_system1.13,2171,27,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono5.0/psweep113_r4_20260328_171213/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono5.0/psweep113_r4_20260328_171213/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono5.0/psweep113_r4_20260328_171213/result.json
3nq9,3nq9_Kdist0.5_Kmono6.0,psweep113_r4_20260328_171213,0.5,6.0,ok,1.8033767287527318,1000,1000,1000,1,0.001,1.0,0.001,0.2176328,0.18302,Advantage2_system1.13,2601,31,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono6.0/psweep113_r4_20260328_171213/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono6.0/psweep113_r4_20260328_171213/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono6.0/psweep113_r4_20260328_171213/result.json
3nq9,3nq9_Kdist0.5_Kmono7.0,psweep113_r4_20260328_171213,0.5,7.0,ok,1.2106947006650057,1000,1000,1000,8,0.008,1.0,0.008,0.2137748,0.17916,Advantage2_system1.13,2320,26,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono7.0/psweep113_r4_20260328_171213/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono7.0/psweep113_r4_20260328_171213/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono7.0/psweep113_r4_20260328_171213/result.json
3nq9,3nq9_Kdist0.5_Kmono8.0,psweep113_r4_20260328_171213,0.5,8.0,ok,2.913398180413447,1000,1000,1000,0,0.0,1.0,0.0,0.208346,0.17374,Advantage2_system1.13,2058,24,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono8.0/psweep113_r4_20260328_171213/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono8.0/psweep113_r4_20260328_171213/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono8.0/psweep113_r4_20260328_171213/result.json
3nq9,3nq9_Kdist0.5_Kmono9.0,psweep113_r4_20260328_171213,0.5,9.0,ok,1.3967827848159091,1000,1000,1000,5,0.005,1.0,0.005,0.20815879999999998,0.17356,Advantage2_system1.13,2130,27,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono9.0/psweep113_r4_20260328_171213/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono9.0/psweep113_r4_20260328_171213/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono9.0/psweep113_r4_20260328_171213/result.json
3nq9,3nq9_Kdist0.5_Kmono10.0,psweep113_r4_20260328_171213,0.5,10.0,ok,0.500420733356217,1000,1000,1000,14,0.014,1.0,0.014,0.21608760000000002,0.18148,Advantage2_system1.13,2207,28,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono10.0/psweep113_r4_20260328_171213/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono10.0/psweep113_r4_20260328_171213/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono10.0/psweep113_r4_20260328_171213/result.json
