ligand,top1_kdist,top1_kmono,top1_mean_quality,top1_std_quality,top2_kdist,top2_kmono,top2_mean_quality,top2_std_quality,mean_diff_top1_minus_top2,paired_ttest_pvalue,wilcoxon_pvalue,bootstrap_ci95_lo,bootstrap_ci95_hi,n_runs,n_nonzero_diffs
3nq9,6.5,2.0,0.25460000000000005,0.344752432913823,6.0,4.0,0.18080000000000002,0.21469084749937525,0.07379999999999999,0.7359988611303426,0.875,-0.202,0.4894,5,4
4jsz,7.5,13.0,0.24840000000000004,0.2774639436034888,3.5,5.0,0.2112,0.2701802361387672,0.03720000000000001,0.8293108773448726,0.8125,-0.2578,0.32199999999999995,5,5
