Pose_ID,RMSD(A),Shape_Diff(A),Feasible,Success(<=2.0A)
212,1.8842,0.0,True,True
213,1.8842,0.0,True,True
214,1.8842,0.0,True,True
215,1.8842,0.0,True,True
216,1.8842,0.0,True,True
217,1.8842,0.0,True,True
218,1.8842,0.0,True,True
219,1.8842,0.0,True,True
220,1.8842,0.0,True,True
221,1.8842,0.0,True,True
222,1.8842,0.0,True,True
223,1.8842,0.0,True,True
224,1.8842,0.0,True,True
225,1.8842,0.0,True,True
226,1.8842,0.0,True,True
227,1.8842,0.0,True,True
228,1.8842,0.0,True,True
229,1.8842,0.0,True,True
230,1.8842,0.0,True,True
231,1.8842,0.0,True,True
232,1.8842,0.0,True,True
233,1.8842,0.0,True,True
234,1.8842,0.0,True,True
235,1.8842,0.0,True,True
236,1.8842,0.0,True,True
237,1.8842,0.0,True,True
238,1.8842,0.0,True,True
239,1.8842,0.0,True,True
240,1.8842,0.0,True,True
241,1.8842,0.0,True,True
242,1.8842,0.0,True,True
243,1.8842,0.0,True,True
244,1.8842,0.0,True,True
245,1.8842,0.0,True,True
246,1.8842,0.0,True,True
247,1.8842,0.0,True,True
248,1.8842,0.0,True,True
249,1.8842,0.0,True,True
250,1.8842,0.0,True,True
251,1.8842,0.0,True,True
252,1.8842,0.0,True,True
253,1.8842,0.0,True,True
254,1.8842,0.0,True,True
255,1.8842,0.0,True,True
256,1.8842,0.0,True,True
257,1.8842,0.0,True,True
258,1.8842,0.0,True,True
259,1.8842,0.0,True,True
260,1.8842,0.0,True,True
261,1.8842,0.0,True,True
262,1.8842,0.0,True,True
263,1.8842,0.0,True,True
264,1.8842,0.0,True,True
265,1.8842,0.0,True,True
266,1.8842,0.0,True,True
267,1.8842,0.0,True,True
268,1.8842,0.0,True,True
269,1.8842,0.0,True,True
270,1.8842,0.0,True,True
271,1.8842,0.0,True,True
272,1.8842,0.0,True,True
273,1.8842,0.0,True,True
274,1.8842,0.0,True,True
275,1.8842,0.0,True,True
276,1.8842,0.0,True,True
277,1.8842,0.0,True,True
278,1.8842,0.0,True,True
279,1.8842,0.0,True,True
280,1.8842,0.0,True,True
281,1.8842,0.0,True,True
282,1.8842,0.0,True,True
283,1.8842,0.0,True,True
284,1.8842,0.0,True,True
285,1.8842,0.0,True,True
286,1.8842,0.0,True,True
287,1.8842,0.0,True,True
288,1.8842,0.0,True,True
289,1.8842,0.0,True,True
290,1.8842,0.0,True,True
291,1.8842,0.0,True,True
292,1.8842,0.0,True,True
293,1.8842,0.0,True,True
294,1.8842,0.0,True,True
295,1.8842,0.0,True,True
296,1.8842,0.0,True,True
297,1.8842,0.0,True,True
298,1.8842,0.0,True,True
299,1.8842,0.0,True,True
300,1.8842,0.0,True,True
301,1.8842,0.0,True,True
302,1.8842,0.0,True,True
303,1.8842,0.0,True,True
304,1.8842,0.0,True,True
305,1.8842,0.0,True,True
306,1.8842,0.0,True,True
307,1.8842,0.0,True,True
308,1.8842,0.0,True,True
309,1.8842,0.0,True,True
310,1.8842,0.0,True,True
311,1.8842,0.0,True,True
312,1.8842,0.0,True,True
313,1.8842,0.0,True,True
314,1.8842,0.0,True,True
315,1.8842,0.0,True,True
316,1.8842,0.0,True,True
317,1.8842,0.0,True,True
318,1.8842,0.0,True,True
319,1.8842,0.0,True,True
320,1.8842,0.0,True,True
321,1.8842,0.0,True,True
322,1.8842,0.0,True,True
323,1.8842,0.0,True,True
324,1.8842,0.0,True,True
325,1.8842,0.0,True,True
326,1.8842,0.0,True,True
327,1.8842,0.0,True,True
328,1.8842,0.0,True,True
329,1.8842,0.0,True,True
330,1.8842,0.0,True,True
331,1.8842,0.0,True,True
332,1.8842,0.0,True,True
333,1.8842,0.0,True,True
334,1.8842,0.0,True,True
335,1.8842,0.0,True,True
336,1.8842,0.0,True,True
337,1.8842,0.0,True,True
338,1.8842,0.0,True,True
339,1.8842,0.0,True,True
340,1.8842,0.0,True,True
341,1.8842,0.0,True,True
342,1.8842,0.0,True,True
343,1.8842,0.0,True,True
344,1.8842,0.0,True,True
345,1.8842,0.0,True,True
346,1.8842,0.0,True,True
347,1.8842,0.0,True,True
348,1.8842,0.0,True,True
349,1.8842,0.0,True,True
350,1.8842,0.0,True,True
351,1.8842,0.0,True,True
352,1.8842,0.0,True,True
353,1.8842,0.0,True,True
354,1.8842,0.0,True,True
355,1.8842,0.0,True,True
356,1.8842,0.0,True,True
357,1.8842,0.0,True,True
358,1.8842,0.0,True,True
359,1.8842,0.0,True,True
360,1.8842,0.0,True,True
361,1.8842,0.0,True,True
362,1.8842,0.0,True,True
363,1.8842,0.0,True,True
364,1.8842,0.0,True,True
365,1.8842,0.0,True,True
366,1.8842,0.0,True,True
367,1.8842,0.0,True,True
368,1.8842,0.0,True,True
369,1.8842,0.0,True,True
370,1.8842,0.0,True,True
371,1.8842,0.0,True,True
372,1.8842,0.0,True,True
373,1.8842,0.0,True,True
374,1.8842,0.0,True,True
375,1.8842,0.0,True,True
376,1.8842,0.0,True,True
377,1.8842,0.0,True,True
378,1.8842,0.0,True,True
379,1.8842,0.0,True,True
380,1.8842,0.0,True,True
381,1.8842,0.0,True,True
382,1.8842,0.0,True,True
383,1.8842,0.0,True,True
384,1.8842,0.0,True,True
385,1.8842,0.0,True,True
386,1.8842,0.0,True,True
387,1.8842,0.0,True,True
388,1.8842,0.0,True,True
389,1.8842,0.0,True,True
390,1.8842,0.0,True,True
391,1.8842,0.0,True,True
392,1.8842,0.0,True,True
393,1.8842,0.0,True,True
394,1.8842,0.0,True,True
395,1.8842,0.0,True,True
396,1.8842,0.0,True,True
397,1.8842,0.0,True,True
398,1.8842,0.0,True,True
399,1.8842,0.0,True,True
400,1.8842,0.0,True,True
401,1.8842,0.0,True,True
402,1.8842,0.0,True,True
403,1.8842,0.0,True,True
404,1.8842,0.0,True,True
405,1.8842,0.0,True,True
406,1.8842,0.0,True,True
407,1.8842,0.0,True,True
408,1.8842,0.0,True,True
409,1.8842,0.0,True,True
410,1.8842,0.0,True,True
411,1.8842,0.0,True,True
412,1.8842,0.0,True,True
413,1.8842,0.0,True,True
414,1.8842,0.0,True,True
415,1.8842,0.0,True,True
416,1.8842,0.0,True,True
417,1.8842,0.0,True,True
418,1.8842,0.0,True,True
419,1.8842,0.0,True,True
420,1.8842,0.0,True,True
421,1.8842,0.0,True,True
422,1.8842,0.0,True,True
423,1.8842,0.0,True,True
424,1.8842,0.0,True,True
425,1.8842,0.0,True,True
426,1.8842,0.0,True,True
427,1.8842,0.0,True,True
428,1.8842,0.0,True,True
429,1.8842,0.0,True,True
430,1.8842,0.0,True,True
431,1.8842,0.0,True,True
432,1.8842,0.0,True,True
433,1.8842,0.0,True,True
434,1.8842,0.0,True,True
435,1.8842,0.0,True,True
436,1.8842,0.0,True,True
437,1.8842,0.0,True,True
438,1.8842,0.0,True,True
439,1.8842,0.0,True,True
440,1.8842,0.0,True,True
441,1.8842,0.0,True,True
442,0.9565,0.0,True,True
443,1.8842,0.0,True,True
444,1.8842,0.0,True,True
445,1.8842,0.0,True,True
446,1.8842,0.0,True,True
447,1.8842,0.0,True,True
448,1.8842,0.0,True,True
449,1.8842,0.0,True,True
450,1.8842,0.0,True,True
451,1.8842,0.0,True,True
452,1.8842,0.0,True,True
453,1.8842,0.0,True,True
454,1.8842,0.0,True,True
455,1.8842,0.0,True,True
456,1.8842,0.0,True,True
457,1.8842,0.0,True,True
458,1.8842,0.0,True,True
459,1.8842,0.0,True,True
460,1.8842,0.0,True,True
461,1.8842,0.0,True,True
462,1.8842,0.0,True,True
463,1.8842,0.0,True,True
464,1.8842,0.0,True,True
465,1.8842,0.0,True,True
466,1.8842,0.0,True,True
467,1.8842,0.0,True,True
468,1.8842,0.0,True,True
469,1.8842,0.0,True,True
470,1.8842,0.0,True,True
471,1.8842,0.0,True,True
472,1.8842,0.0,True,True
473,1.8842,0.0,True,True
474,1.8842,0.0,True,True
475,1.8842,0.0,True,True
476,1.8842,0.0,True,True
477,1.8842,0.0,True,True
478,1.8842,0.0,True,True
479,1.8842,0.0,True,True
480,1.8842,0.0,True,True
481,1.8842,0.0,True,True
482,1.8842,0.0,True,True
483,1.8842,0.0,True,True
484,1.8842,0.0,True,True
485,1.8842,0.0,True,True
486,1.8842,0.0,True,True
487,1.8842,0.0,True,True
488,1.8842,0.0,True,True
489,1.8842,0.0,True,True
490,1.8842,0.0,True,True
491,1.8842,0.0,True,True
492,1.8842,0.0,True,True
493,1.8842,0.0,True,True
494,1.8842,0.0,True,True
495,1.8842,0.0,True,True
496,1.8842,0.0,True,True
497,1.8842,0.0,True,True
498,1.8842,0.0,True,True
499,1.8842,0.0,True,True
500,1.8842,0.0,True,True
501,1.8842,0.0,True,True
502,1.8842,0.0,True,True
503,1.8842,0.0,True,True
504,1.8842,0.0,True,True
505,1.8842,0.0,True,True
506,1.8842,0.0,True,True
507,1.8842,0.0,True,True
508,1.8842,0.0,True,True
509,1.8842,0.0,True,True
510,1.8842,0.0,True,True
511,1.8842,0.0,True,True
512,1.8842,0.0,True,True
513,1.8842,0.0,True,True
514,1.8842,0.0,True,True
515,1.8842,0.0,True,True
516,1.8842,0.0,True,True
517,1.8842,0.0,True,True
518,1.8842,0.0,True,True
519,1.8842,0.0,True,True
520,1.8842,0.0,True,True
521,1.8842,0.0,True,True
522,1.8842,0.0,True,True
523,1.8842,0.0,True,True
524,1.8842,0.0,True,True
525,1.8842,0.0,True,True
526,1.8842,0.0,True,True
527,1.8842,0.0,True,True
528,1.8842,0.0,True,True
529,1.8842,0.0,True,True
530,1.8842,0.0,True,True
531,1.8842,0.0,True,True
532,1.8842,0.0,True,True
533,1.8842,0.0,True,True
534,1.8842,0.0,True,True
535,1.8842,0.0,True,True
536,1.8842,0.0,True,True
537,1.8842,0.0,True,True
538,1.8842,0.0,True,True
539,1.8842,0.0,True,True
540,1.8842,0.0,True,True
541,1.8842,0.0,True,True
542,1.8842,0.0,True,True
543,1.8842,0.0,True,True
544,1.8842,0.0,True,True
545,1.8842,0.0,True,True
546,1.8842,0.0,True,True
547,1.8842,0.0,True,True
548,1.8842,0.0,True,True
549,1.8842,0.0,True,True
550,1.8842,0.0,True,True
551,1.8842,0.0,True,True
552,1.8842,0.0,True,True
553,1.8842,0.0,True,True
554,1.8842,0.0,True,True
555,1.8842,0.0,True,True
556,1.8842,0.0,True,True
557,1.8842,0.0,True,True
558,1.8842,0.0,True,True
559,1.8842,0.0,True,True
560,1.8842,0.0,True,True
561,1.8842,0.0,True,True
562,1.8842,0.0,True,True
563,1.8842,0.0,True,True
564,1.8842,0.0,True,True
565,1.8842,0.0,True,True
566,1.8842,0.0,True,True
567,1.8842,0.0,True,True
568,1.8842,0.0,True,True
569,1.8842,0.0,True,True
570,1.8842,0.0,True,True
571,1.8842,0.0,True,True
572,1.8842,0.0,True,True
573,1.8842,0.0,True,True
574,1.8842,0.0,True,True
575,1.8842,0.0,True,True
576,1.8842,0.0,True,True
577,1.8842,0.0,True,True
578,1.8842,0.0,True,True
579,1.8842,0.0,True,True
580,1.8842,0.0,True,True
581,1.8842,0.0,True,True
582,1.8842,0.0,True,True
583,1.8842,0.0,True,True
584,1.8842,0.0,True,True
585,1.8842,0.0,True,True
586,1.8842,0.0,True,True
587,1.8842,0.0,True,True
588,1.8842,0.0,True,True
589,1.8842,0.0,True,True
590,1.8842,0.0,True,True
591,1.8842,0.0,True,True
592,1.8842,0.0,True,True
593,1.8842,0.0,True,True
594,1.8842,0.0,True,True
595,1.8842,0.0,True,True
596,1.8842,0.0,True,True
597,1.8842,0.0,True,True
598,1.8842,0.0,True,True
599,1.8842,0.0,True,True
600,1.8842,0.0,True,True
601,1.8842,0.0,True,True
602,1.8842,0.0,True,True
603,0.9565,0.0,True,True
604,1.8842,0.0,True,True
605,1.8842,0.0,True,True
606,1.8842,0.0,True,True
607,1.8842,0.0,True,True
608,1.8842,0.0,True,True
609,1.8842,0.0,True,True
610,1.8842,0.0,True,True
611,0.9565,0.0,True,True
612,1.8842,0.0,True,True
613,1.8842,0.0,True,True
614,1.8842,0.0,True,True
615,1.8842,0.0,True,True
616,1.8842,0.0,True,True
617,1.8842,0.0,True,True
618,1.8842,0.0,True,True
619,1.8842,0.0,True,True
620,1.8842,0.0,True,True
621,1.8842,0.0,True,True
622,1.8842,0.0,True,True
623,1.8842,0.0,True,True
624,1.8842,0.0,True,True
625,1.8842,0.0,True,True
626,1.8842,0.0,True,True
627,1.8842,0.0,True,True
628,1.8842,0.0,True,True
629,1.8842,0.0,True,True
630,1.8842,0.0,True,True
